product_id,warehouse_id,beginning_inventory,effective_date,created_at
P0001,WH01,28,2024-01-01,2024-01-01 00:00:00
P0001,WH03,96,2024-01-01,2024-01-01 00:00:00
P0001,WH06,72,2024-01-01,2024-01-01 00:00:00
P0002,WH01,32,2024-01-01,2024-01-01 00:00:00
P0002,WH03,40,2024-01-01,2024-01-01 00:00:00
P0002,WH06,62,2024-01-01,2024-01-01 00:00:00
P0003,WH01,54,2024-01-01,2024-01-01 00:00:00
P0003,WH03,44,2024-01-01,2024-01-01 00:00:00
P0003,WH06,40,2024-01-01,2024-01-01 00:00:00
P0004,WH01,75,2024-01-01,2024-01-01 00:00:00
P0004,WH03,134,2024-01-01,2024-01-01 00:00:00
P0004,WH06,184,2024-01-01,2024-01-01 00:00:00
P0005,WH01,36,2024-01-01,2024-01-01 00:00:00
P0005,WH03,84,2024-01-01,2024-01-01 00:00:00
P0005,WH06,194,2024-01-01,2024-01-01 00:00:00
P0008,WH01,81,2024-01-01,2024-01-01 00:00:00
P0008,WH03,114,2024-01-01,2024-01-01 00:00:00
P0008,WH06,318,2024-01-01,2024-01-01 00:00:00
P0011,WH01,42,2024-01-01,2024-01-01 00:00:00
P0011,WH03,56,2024-01-01,2024-01-01 00:00:00
P0011,WH06,118,2024-01-01,2024-01-01 00:00:00
P0014,WH01,132,2024-01-01,2024-01-01 00:00:00
P0014,WH02,187,2024-01-01,2024-01-01 00:00:00
P0015,WH01,38,2024-01-01,2024-01-01 00:00:00
P0015,WH02,120,2024-01-01,2024-01-01 00:00:00
P0019,WH01,48,2024-01-01,2024-01-01 00:00:00
P0019,WH02,6,2024-01-01,2024-01-01 00:00:00
P0020,WH01,384,2024-01-01,2024-01-01 00:00:00
P0020,WH02,24,2024-01-01,2024-01-01 00:00:00
P0021,WH01,324,2024-01-01,2024-01-01 00:00:00
P0021,WH02,0,2024-01-01,2024-01-01 00:00:00
P0044,WH01,143,2024-01-01,2024-01-01 00:00:00
P0044,WH02,326,2024-01-01,2024-01-01 00:00:00
P0045,WH01,161,2024-01-01,2024-01-01 00:00:00
P0045,WH02,255,2024-01-01,2024-01-01 00:00:00
P0053,WH01,24,2024-01-01,2024-01-01 00:00:00
P0053,WH03,18,2024-01-01,2024-01-01 00:00:00
P0053,WH04,36,2024-01-01,2024-01-01 00:00:00
P0053,WH05,72,2024-01-01,2024-01-01 00:00:00
P0053,WH06,240,2024-01-01,2024-01-01 00:00:00
P0054,WH01,35,2024-01-01,2024-01-01 00:00:00
P0054,WH03,26,2024-01-01,2024-01-01 00:00:00
P0054,WH04,134,2024-01-01,2024-01-01 00:00:00
P0054,WH05,136,2024-01-01,2024-01-01 00:00:00
P0054,WH06,338,2024-01-01,2024-01-01 00:00:00
P0055,WH01,30,2024-01-01,2024-01-01 00:00:00
P0055,WH03,22,2024-01-01,2024-01-01 00:00:00
P0055,WH04,78,2024-01-01,2024-01-01 00:00:00
