product_id,warehouse_id,time_period,inventory_fluctuation,inventory_ceiling,inventory_floor,created_at
P0001,WH01,1,-8,35,26,2024-01-01 00:00:00
P0001,WH01,2,-8,35,26,2024-01-01 00:00:00
P0001,WH01,3,0,35,26,2024-01-01 00:00:00
P0001,WH01,4,0,35,26,2024-01-01 00:00:00
P0001,WH03,1,0,46,34,2024-01-01 00:00:00
P0001,WH03,2,-24,46,34,2024-01-01 00:00:00
P0001,WH03,3,32,46,34,2024-01-01 00:00:00
P0001,WH03,4,-24,46,34,2024-01-01 00:00:00
P0001,WH06,1,-8,38,27,2024-01-01 00:00:00
P0001,WH06,2,-16,39,28,2024-01-01 00:00:00
P0001,WH06,3,0,39,28,2024-01-01 00:00:00
P0001,WH06,4,0,39,28,2024-01-01 00:00:00
P0002,WH01,1,-10,26,18,2024-01-01 00:00:00
P0002,WH01,2,-10,26,18,2024-01-01 00:00:00
P0002,WH01,3,0,26,18,2024-01-01 00:00:00
P0002,WH01,4,0,26,18,2024-01-01 00:00:00
P0002,WH03,1,-10,21,15,2024-01-01 00:00:00
P0002,WH03,2,-10,21,15,2024-01-01 00:00:00
P0002,WH03,3,0,21,15,2024-01-01 00:00:00
P0002,WH03,4,-10,21,15,2024-01-01 00:00:00
P0002,WH06,1,-20,41,30,2024-01-01 00:00:00
P0002,WH06,2,-10,45,33,2024-01-01 00:00:00
P0002,WH06,3,-14,45,33,2024-01-01 00:00:00
P0002,WH06,4,-2,45,33,2024-01-01 00:00:00
P0003,WH01,1,-10,30,22,2024-01-01 00:00:00
P0003,WH01,2,2,30,22,2024-01-01 00:00:00
P0003,WH01,3,-10,30,22,2024-01-01 00:00:00
P0003,WH01,4,-10,30,22,2024-01-01 00:00:00
P0003,WH03,1,0,23,17,2024-01-01 00:00:00
P0003,WH03,2,-10,23,17,2024-01-01 00:00:00
P0003,WH03,3,-10,23,17,2024-01-01 00:00:00
P0003,WH03,4,-10,23,17,2024-01-01 00:00:00
P0003,WH06,1,-10,38,27,2024-01-01 00:00:00
P0003,WH06,2,-20,40,29,2024-01-01 00:00:00
P0003,WH06,3,24,40,29,2024-01-01 00:00:00
P0003,WH06,4,0,40,29,2024-01-01 00:00:00
P0004,WH01,1,-18,58,43,2024-01-01 00:00:00
P0004,WH01,2,-12,58,43,2024-01-01 00:00:00
P0004,WH01,3,-18,58,43,2024-01-01 00:00:00
P0004,WH01,4,-8,58,43,2024-01-01 00:00:00
P0004,WH03,1,-34,59,44,2024-01-01 00:00:00
P0004,WH03,2,-36,59,44,2024-01-01 00:00:00
P0004,WH03,3,0,59,44,2024-01-01 00:00:00
P0004,WH03,4,-14,59,44,2024-01-01 00:00:00
P0004,WH06,1,-36,101,75,2024-01-01 00:00:00
P0004,WH06,2,-36,105,78,2024-01-01 00:00:00
P0004,WH06,3,-36,105,78,2024-01-01 00:00:00
P0004,WH06,4,-28,105,78,2024-01-01 00:00:00
P0005,WH01,1,-18,52,38,2024-01-01 00:00:00
P0005,WH01,2,-12,52,38,2024-01-01 00:00:00
P0005,WH01,3,18,52,38,2024-01-01 00:00:00
P0005,WH01,4,0,52,38,2024-01-01 00:00:00
P0005,WH03,1,4,54,40,2024-01-01 00:00:00
P0005,WH03,2,-36,54,40,2024-01-01 00:00:00
P0005,WH03,3,0,54,40,2024-01-01 00:00:00
P0005,WH03,4,-26,54,40,2024-01-01 00:00:00
P0005,WH06,1,-36,96,72,2024-01-01 00:00:00
P0005,WH06,2,-36,102,76,2024-01-01 00:00:00
P0005,WH06,3,-36,102,76,2024-01-01 00:00:00
P0005,WH06,4,-12,102,76,2024-01-01 00:00:00
P0008,WH01,1,-24,88,65,2024-01-01 00:00:00
P0008,WH01,2,3,88,65,2024-01-01 00:00:00
P0008,WH01,3,-12,88,65,2024-01-01 00:00:00
P0008,WH01,4,24,88,65,2024-01-01 00:00:00
P0008,WH03,1,9,86,63,2024-01-01 00:00:00
P0008,WH03,2,-24,86,63,2024-01-01 00:00:00
P0008,WH03,3,-12,86,63,2024-01-01 00:00:00
P0008,WH03,4,9,86,63,2024-01-01 00:00:00
P0008,WH06,1,-56,164,122,2024-01-01 00:00:00
P0008,WH06,2,-64,173,129,2024-01-01 00:00:00
P0008,WH06,3,-20,173,129,2024-01-01 00:00:00
P0008,WH06,4,46,173,129,2024-01-01 00:00:00
P0011,WH01,1,-12,35,26,2024-01-01 00:00:00
P0011,WH01,2,0,35,26,2024-01-01 00:00:00
P0011,WH01,3,-8,35,26,2024-01-01 00:00:00
P0011,WH01,4,10,35,26,2024-01-01 00:00:00
P0011,WH03,1,-12,27,19,2024-01-01 00:00:00
P0011,WH03,2,0,27,19,2024-01-01 00:00:00
P0011,WH03,3,-8,27,19,2024-01-01 00:00:00
P0011,WH03,4,0,27,19,2024-01-01 00:00:00
P0011,WH06,1,-36,89,66,2024-01-01 00:00:00
P0011,WH06,2,-36,96,72,2024-01-01 00:00:00
P0011,WH06,3,20,96,72,2024-01-01 00:00:00
P0011,WH06,4,24,96,72,2024-01-01 00:00:00
P0014,WH01,1,-54,266,198,2024-01-01 00:00:00
P0014,WH01,2,-38,266,198,2024-01-01 00:00:00
P0014,WH01,3,-2,266,198,2024-01-01 00:00:00
P0014,WH01,4,2,266,198,2024-01-01 00:00:00
P0014,WH02,1,-48,412,308,2024-01-01 00:00:00
P0014,WH02,2,-108,428,320,2024-01-01 00:00:00
P0014,WH02,3,0,428,320,2024-01-01 00:00:00
P0014,WH02,4,88,428,320,2024-01-01 00:00:00
P0015,WH01,1,-18,57,42,2024-01-01 00:00:00
P0015,WH01,2,-18,57,42,2024-01-01 00:00:00
P0015,WH01,3,-2,57,42,2024-01-01 00:00:00
P0015,WH01,4,2,57,42,2024-01-01 00:00:00
P0015,WH02,1,-36,152,113,2024-01-01 00:00:00
P0015,WH02,2,-72,160,119,2024-01-01 00:00:00
P0015,WH02,3,36,160,119,2024-01-01 00:00:00
P0015,WH02,4,0,160,119,2024-01-01 00:00:00
P0019,WH01,1,-51,200,149,2024-01-01 00:00:00
P0019,WH01,2,33,200,149,2024-01-01 00:00:00
P0019,WH01,3,141,200,149,2024-01-01 00:00:00
P0019,WH01,4,-3,200,149,2024-01-01 00:00:00
P0019,WH02,1,-282,366,274,2024-01-01 00:00:00
P0019,WH02,2,-126,381,285,2024-01-01 00:00:00
P0019,WH02,3,84,381,285,2024-01-01 00:00:00
P0019,WH02,4,120,381,285,2024-01-01 00:00:00
P0020,WH01,1,-81,228,171,2024-01-01 00:00:00
P0020,WH01,2,15,228,171,2024-01-01 00:00:00
P0020,WH01,3,-72,228,171,2024-01-01 00:00:00
P0020,WH01,4,-45,228,171,2024-01-01 00:00:00
P0020,WH02,1,-210,479,359,2024-01-01 00:00:00
P0020,WH02,2,-144,495,370,2024-01-01 00:00:00
P0020,WH02,3,54,495,370,2024-01-01 00:00:00
P0020,WH02,4,252,495,370,2024-01-01 00:00:00
P0021,WH01,1,-135,370,277,2024-01-01 00:00:00
P0021,WH01,2,-87,370,277,2024-01-01 00:00:00
P0021,WH01,3,213,370,277,2024-01-01 00:00:00
P0021,WH01,4,-3,370,277,2024-01-01 00:00:00
P0021,WH02,1,-294,790,592,2024-01-01 00:00:00
P0021,WH02,2,-216,815,611,2024-01-01 00:00:00
P0021,WH02,3,192,815,611,2024-01-01 00:00:00
P0021,WH02,4,228,815,611,2024-01-01 00:00:00
P0044,WH01,1,-36,164,122,2024-01-01 00:00:00
P0044,WH01,2,-30,164,122,2024-01-01 00:00:00
P0044,WH01,3,32,164,122,2024-01-01 00:00:00
P0044,WH01,4,0,164,122,2024-01-01 00:00:00
P0044,WH02,1,-92,322,241,2024-01-01 00:00:00
P0044,WH02,2,-72,338,252,2024-01-01 00:00:00
P0044,WH02,3,104,338,252,2024-01-01 00:00:00
P0044,WH02,4,0,338,252,2024-01-01 00:00:00
P0045,WH01,1,-36,168,126,2024-01-01 00:00:00
P0045,WH01,2,-6,168,126,2024-01-01 00:00:00
P0045,WH01,3,16,168,126,2024-01-01 00:00:00
P0045,WH01,4,0,168,126,2024-01-01 00:00:00
P0045,WH02,1,-92,317,237,2024-01-01 00:00:00
P0045,WH02,2,-84,333,249,2024-01-01 00:00:00
P0045,WH02,3,116,333,249,2024-01-01 00:00:00
P0045,WH02,4,64,333,249,2024-01-01 00:00:00
P0053,WH01,1,-15,27,19,2024-01-01 00:00:00
P0053,WH01,2,0,27,19,2024-01-01 00:00:00
P0053,WH01,3,3,27,19,2024-01-01 00:00:00
P0053,WH01,4,0,27,19,2024-01-01 00:00:00
P0053,WH03,1,-15,33,24,2024-01-01 00:00:00
P0053,WH03,2,-15,33,24,2024-01-01 00:00:00
P0053,WH03,3,9,33,24,2024-01-01 00:00:00
P0053,WH03,4,0,33,24,2024-01-01 00:00:00
P0053,WH04,1,0,50,36,2024-01-01 00:00:00
P0053,WH04,2,-15,50,36,2024-01-01 00:00:00
P0053,WH04,3,6,50,36,2024-01-01 00:00:00
P0053,WH04,4,0,50,36,2024-01-01 00:00:00
P0053,WH05,1,-15,64,47,2024-01-01 00:00:00
