product_id, item_class, product_series, product_style, product_size, created_at         , updated_at         , product_name
P0001     , CLS-A     , SER-001       , STY-001      , SZ-065      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0001
P0002     , CLS-A     , SER-001       , STY-001      , SZ-007      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0002
P0003     , CLS-A     , SER-001       , STY-001      , SZ-008      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0003
P0004     , CLS-A     , SER-001       , STY-001      , SZ-050      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0004
P0005     , CLS-A     , SER-001       , STY-001      , SZ-051      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0005
P0006     , CLS-A     , SER-001       , STY-001      , SZ-007      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0006
P0007     , CLS-A     , SER-001       , STY-001      , SZ-008      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0007
P0008     , CLS-A     , SER-001       , STY-001      , SZ-032      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0008
P0009     , CLS-A     , SER-001       , STY-001      , SZ-050      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0009
P0010     , CLS-A     , SER-001       , STY-001      , SZ-051      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0010
P0011     , CLS-A     , SER-001       , STY-001      , SZ-062      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0011
P0012     , CLS-A     , SER-001       , STY-001      , SZ-051      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0012
P0013     , CLS-A     , SER-001       , STY-001      , SZ-062      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0013
P0014     , CLS-A     , SER-002       , STY-002      , SZ-016      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0014
P0015     , CLS-A     , SER-003       , STY-002      , SZ-016      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0015
P0016     , CLS-A     , SER-004       , STY-003      , SZ-019      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0016
P0017     , CLS-A     , SER-005       , STY-003      , SZ-019      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0017
P0018     , CLS-A     , SER-006       , STY-003      , SZ-019      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0018
P0019     , CLS-A     , SER-004       , STY-003      , SZ-019      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0019
P0020     , CLS-A     , SER-005       , STY-003      , SZ-019      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0020
P0021     , CLS-A     , SER-006       , STY-003      , SZ-019      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0021
P0022     , CLS-A     , SER-007       , STY-004      , SZ-008      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0022
P0023     , CLS-A     , SER-007       , STY-004      , SZ-023      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0023
P0024     , CLS-A     , SER-007       , STY-004      , SZ-032      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0024
P0025     , CLS-A     , SER-007       , STY-004      , SZ-040      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0025
P0026     , CLS-A     , SER-007       , STY-004      , SZ-062      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0026
