product_id,demand_pressure,flow_variability,warehouse_count,avg_inventory_floor,avg_inventory_ceiling,total_capacity,avg_capacity,pack_multiple,total_beginning_inventory,avg_overstock_cost,avg_shortage_cost,avg_backlog_cost,avg_penalty_cost,capacity_pressure,demand_pressure_norm,flow_variability_norm,capacity_pressure_norm,pack_multiple_norm,warehouse_count_norm,difficulty_score,difficulty_group,early_donor_surplus_no_plt,early_receiver_shortage_no_plt,expected_plt_case,recommended_source_warehouse,recommended_receiver_warehouses,complex_rule,source_dataset,is_complex_transfer_case
D2_P0095,440,4.819679,5,46.58,143.56,434,43.4,4,339,0.1,0.5,1500.0,500.0,1.013825,0.060201,0.092315,0.840806,0.2,0.0,0.27134,G2_medium_low,1143.0,1865.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P0115,455,5.44701,5,47.0,142.68,440,44.0,4,340,0.1,0.5,1500.0,500.0,1.034091,0.110368,0.264368,0.89428,0.2,0.0,0.342772,G2_medium_low,1169.0,1938.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P0222,465,5.00678,5,49.3,147.12,481,48.1,3,354,0.1,0.5,1500.0,500.0,0.966736,0.143813,0.143629,0.716556,0.1,0.0,0.26819,G2_medium_low,1295.0,2034.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P0254,469,5.736637,5,58.38,165.08,544,54.4,12,426,0.1,0.5,1500.0,750.0,0.862132,0.157191,0.343801,0.440547,1.0,0.0,0.343244,G2_medium_low,1640.0,2246.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P0302,460,5.149996,5,53.74,156.42,514,51.4,4,382,0.1,0.5,1500.0,500.0,0.894942,0.12709,0.182908,0.527118,0.2,0.0,0.235634,G1_low,1386.0,2131.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P0396,429,5.57003,5,55.62,165.94,483,48.3,4,408,0.1,0.5,1500.0,500.0,0.888199,0.023411,0.298108,0.509326,0.2,0.0,0.228882,G1_low,1750.0,2045.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P0694,423,5.123527,5,57.84,166.26,463,46.3,3,425,0.1,0.5,1500.0,500.0,0.913607,0.003344,0.175649,0.576369,0.1,0.0,0.199008,G1_low,1707.0,2092.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P0741,486,5.242295,5,61.02,172.82,495,49.5,3,463,0.1,0.5,1500.0,500.0,0.981818,0.214047,0.208222,0.756352,0.1,0.0,0.315358,G2_medium_low,1659.0,2074.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P1055,434,4.918793,5,43.52,138.06,472,47.2,4,317,0.1,0.5,1500.0,500.0,0.919492,0.040134,0.119498,0.591896,0.2,0.0,0.209889,G1_low,1145.0,1942.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P1087,481,5.242862,5,46.0,139.64,517,51.7,4,316,0.1,0.5,1500.0,500.0,0.930368,0.197324,0.208378,0.620594,0.2,0.0,0.28644,G2_medium_low,1104.0,2071.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P1296,440,4.832481,5,49.46,148.0,474,47.4,4,347,0.1,0.5,1500.0,500.0,0.92827,0.060201,0.095826,0.615059,0.2,0.0,0.215781,G1_low,1262.0,2013.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P1313,453,5.368786,5,51.4,151.92,483,48.3,6,374,0.1,0.5,1500.0,750.0,0.937888,0.103679,0.242914,0.640438,0.4,0.0,0.291942,G2_medium_low,1407.0,1955.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P1390,449,4.864301,5,53.14,155.02,475,47.5,4,385,0.1,0.5,1500.0,500.0,0.945263,0.090301,0.104553,0.659898,0.2,0.0,0.238203,G1_low,1457.0,2089.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P1511,476,5.208003,5,54.18,158.84,486,48.6,4,398,0.1,0.5,1500.0,500.0,0.979424,0.180602,0.198817,0.750035,0.2,0.0,0.311394,G2_medium_low,1491.0,2082.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
