product_id,warehouse_id,time_period,overstock_cost,shortage_cost,backlog_cost,penalty_cost,created_at
P0001,WH01,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0001,WH03,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0001,WH06,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0002,WH01,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0002,WH03,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0002,WH06,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0003,WH01,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0003,WH03,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0003,WH06,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0004,WH01,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0004,WH03,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0004,WH06,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0005,WH01,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0005,WH03,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0005,WH06,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0008,WH01,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0008,WH03,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0008,WH06,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0011,WH01,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0011,WH03,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0011,WH06,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0014,WH01,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0014,WH02,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0015,WH01,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0015,WH02,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0019,WH01,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0019,WH02,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0020,WH01,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0020,WH02,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0021,WH01,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0021,WH02,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0044,WH01,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0044,WH02,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0045,WH01,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0045,WH02,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0053,WH01,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0053,WH03,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0053,WH04,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0053,WH05,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0053,WH06,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0054,WH01,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0054,WH03,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0054,WH04,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0054,WH05,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0054,WH06,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0055,WH01,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0055,WH03,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0055,WH04,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0055,WH05,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0055,WH06,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0069,WH01,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0069,WH03,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0069,WH06,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0070,WH01,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0070,WH03,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0070,WH06,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0091,WH01,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0091,WH03,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0091,WH06,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0095,WH06,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0100,WH01,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0100,WH03,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
P0100,WH04,1,0.10,0.50,1500,2000,2024-01-01 00:00:00
