product_id,time_period,capacity,created_at
P0001,1,24,2024-01-01 00:00:00
P0001,2,36,2024-01-01 00:00:00
P0001,3,40,2024-01-01 00:00:00
P0001,4,24,2024-01-01 00:00:00
P0002,1,18,2024-01-01 00:00:00
P0002,2,18,2024-01-01 00:00:00
P0002,3,56,2024-01-01 00:00:00
P0002,4,18,2024-01-01 00:00:00
P0003,1,12,2024-01-01 00:00:00
P0003,2,12,2024-01-01 00:00:00
P0003,3,34,2024-01-01 00:00:00
P0003,4,12,2024-01-01 00:00:00
P0004,1,36,2024-01-01 00:00:00
P0004,2,36,2024-01-01 00:00:00
P0004,3,118,2024-01-01 00:00:00
P0004,4,36,2024-01-01 00:00:00
P0005,1,28,2024-01-01 00:00:00
P0005,2,28,2024-01-01 00:00:00
P0005,3,96,2024-01-01 00:00:00
P0005,4,28,2024-01-01 00:00:00
P0006,1,16,2024-01-01 00:00:00
P0006,2,18,2024-01-01 00:00:00
P0006,3,18,2024-01-01 00:00:00
P0006,4,18,2024-01-01 00:00:00
P0007,1,16,2024-01-01 00:00:00
P0007,2,18,2024-01-01 00:00:00
P0007,3,18,2024-01-01 00:00:00
P0007,4,18,2024-01-01 00:00:00
P0008,1,24,2024-01-01 00:00:00
P0008,2,24,2024-01-01 00:00:00
P0008,3,54,2024-01-01 00:00:00
P0008,4,24,2024-01-01 00:00:00
P0009,1,16,2024-01-01 00:00:00
P0009,2,18,2024-01-01 00:00:00
P0009,3,18,2024-01-01 00:00:00
P0009,4,18,2024-01-01 00:00:00
P0010,1,16,2024-01-01 00:00:00
P0010,2,18,2024-01-01 00:00:00
P0010,3,18,2024-01-01 00:00:00
P0010,4,18,2024-01-01 00:00:00
P0011,1,14,2024-01-01 00:00:00
P0011,2,16,2024-01-01 00:00:00
P0011,3,38,2024-01-01 00:00:00
P0011,4,14,2024-01-01 00:00:00
P0012,1,20,2024-01-01 00:00:00
P0012,2,20,2024-01-01 00:00:00
P0012,3,24,2024-01-01 00:00:00
P0012,4,24,2024-01-01 00:00:00
P0013,1,20,2024-01-01 00:00:00
P0013,2,20,2024-01-01 00:00:00
P0013,3,24,2024-01-01 00:00:00
P0013,4,24,2024-01-01 00:00:00
P0014,1,124,2024-01-01 00:00:00
P0014,2,124,2024-01-01 00:00:00
P0014,3,124,2024-01-01 00:00:00
P0014,4,552,2024-01-01 00:00:00
P0015,1,84,2024-01-01 00:00:00
P0015,2,152,2024-01-01 00:00:00
P0015,3,84,2024-01-01 00:00:00
P0015,4,156,2024-01-01 00:00:00
P0016,1,24,2024-01-01 00:00:00
P0016,2,24,2024-01-01 00:00:00
P0016,3,30,2024-01-01 00:00:00
P0016,4,24,2024-01-01 00:00:00
P0017,1,24,2024-01-01 00:00:00
P0017,2,24,2024-01-01 00:00:00
P0017,3,30,2024-01-01 00:00:00
P0017,4,24,2024-01-01 00:00:00
P0018,1,24,2024-01-01 00:00:00
P0018,2,24,2024-01-01 00:00:00
P0018,3,30,2024-01-01 00:00:00
P0018,4,24,2024-01-01 00:00:00
P0019,1,156,2024-01-01 00:00:00
P0019,2,156,2024-01-01 00:00:00
P0019,3,564,2024-01-01 00:00:00
P0019,4,156,2024-01-01 00:00:00
P0020,1,276,2024-01-01 00:00:00
P0020,2,648,2024-01-01 00:00:00
P0020,3,276,2024-01-01 00:00:00
P0020,4,276,2024-01-01 00:00:00
P0021,1,420,2024-01-01 00:00:00
P0021,2,1080,2024-01-01 00:00:00
P0021,3,792,2024-01-01 00:00:00
P0021,4,420,2024-01-01 00:00:00
P0022,1,20,2024-01-01 00:00:00
P0022,2,20,2024-01-01 00:00:00
P0022,3,24,2024-01-01 00:00:00
P0022,4,24,2024-01-01 00:00:00
P0023,1,20,2024-01-01 00:00:00
P0023,2,20,2024-01-01 00:00:00
P0023,3,24,2024-01-01 00:00:00
P0023,4,24,2024-01-01 00:00:00
P0024,1,20,2024-01-01 00:00:00
P0024,2,20,2024-01-01 00:00:00
P0024,3,24,2024-01-01 00:00:00
P0024,4,24,2024-01-01 00:00:00
P0025,1,20,2024-01-01 00:00:00
P0025,2,20,2024-01-01 00:00:00
P0025,3,24,2024-01-01 00:00:00
P0025,4,24,2024-01-01 00:00:00
P0026,1,20,2024-01-01 00:00:00
