product_id,warehouse_id,time_period,inventory_fluctuation,inventory_ceiling,inventory_floor,created_at
P0001,WH01,1,-8,109,50,2024-01-01 00:00:00
P0001,WH01,2,-5,105,45,2024-01-01 00:00:00
P0001,WH01,3,-16,98,42,2024-01-01 00:00:00
P0001,WH01,4,-13,108,48,2024-01-01 00:00:00
P0001,WH01,5,-12,99,49,2024-01-01 00:00:00
P0001,WH01,6,-5,101,41,2024-01-01 00:00:00
P0001,WH01,7,-8,105,47,2024-01-01 00:00:00
P0001,WH01,8,-5,103,47,2024-01-01 00:00:00
P0001,WH01,9,-8,92,43,2024-01-01 00:00:00
P0001,WH01,10,-3,94,43,2024-01-01 00:00:00
P0001,WH03,1,-9,97,50,2024-01-01 00:00:00
P0001,WH03,2,-7,106,49,2024-01-01 00:00:00
P0001,WH03,3,-14,107,55,2024-01-01 00:00:00
P0001,WH03,4,-17,105,49,2024-01-01 00:00:00
P0001,WH03,5,-16,109,47,2024-01-01 00:00:00
P0001,WH03,6,-13,99,46,2024-01-01 00:00:00
P0001,WH03,7,-7,102,50,2024-01-01 00:00:00
P0001,WH03,8,2,103,55,2024-01-01 00:00:00
P0001,WH03,9,-3,103,53,2024-01-01 00:00:00
P0001,WH03,10,-7,101,53,2024-01-01 00:00:00
P0001,WH04,1,-8,106,58,2024-01-01 00:00:00
P0001,WH04,2,-13,113,54,2024-01-01 00:00:00
P0001,WH04,3,-11,109,47,2024-01-01 00:00:00
P0001,WH04,4,-18,116,56,2024-01-01 00:00:00
P0001,WH04,5,-17,111,49,2024-01-01 00:00:00
P0001,WH04,6,-13,114,54,2024-01-01 00:00:00
P0001,WH04,7,-8,105,53,2024-01-01 00:00:00
P0001,WH04,8,4,117,57,2024-01-01 00:00:00
P0001,WH04,9,-6,112,54,2024-01-01 00:00:00
P0001,WH04,10,-8,97,49,2024-01-01 00:00:00
P0001,WH05,1,-14,113,61,2024-01-01 00:00:00
P0001,WH05,2,-10,127,65,2024-01-01 00:00:00
P0001,WH05,3,-9,108,56,2024-01-01 00:00:00
P0001,WH05,4,-19,112,62,2024-01-01 00:00:00
P0001,WH05,5,-12,118,62,2024-01-01 00:00:00
P0001,WH05,6,-11,110,62,2024-01-01 00:00:00
P0001,WH05,7,-6,109,62,2024-01-01 00:00:00
P0001,WH05,8,-2,115,54,2024-01-01 00:00:00
P0001,WH05,9,-8,116,55,2024-01-01 00:00:00
P0001,WH05,10,-6,116,63,2024-01-01 00:00:00
P0001,WH06,1,-8,289,22,2024-01-01 00:00:00
P0001,WH06,2,-8,297,26,2024-01-01 00:00:00
P0001,WH06,3,-2,297,22,2024-01-01 00:00:00
P0001,WH06,4,-4,288,26,2024-01-01 00:00:00
P0001,WH06,5,-9,286,26,2024-01-01 00:00:00
P0001,WH06,6,-9,293,24,2024-01-01 00:00:00
P0001,WH06,7,2,282,22,2024-01-01 00:00:00
P0001,WH06,8,-7,280,22,2024-01-01 00:00:00
P0001,WH06,9,-10,283,22,2024-01-01 00:00:00
P0001,WH06,10,0,293,22,2024-01-01 00:00:00
P0002,WH01,1,-11,100,49,2024-01-01 00:00:00
P0002,WH01,2,-11,95,47,2024-01-01 00:00:00
P0002,WH01,3,-10,102,54,2024-01-01 00:00:00
P0002,WH01,4,-9,106,48,2024-01-01 00:00:00
P0002,WH01,5,-15,94,42,2024-01-01 00:00:00
P0002,WH01,6,-5,115,54,2024-01-01 00:00:00
P0002,WH01,7,-8,95,47,2024-01-01 00:00:00
P0002,WH01,8,-5,100,49,2024-01-01 00:00:00
P0002,WH01,9,-8,104,43,2024-01-01 00:00:00
P0002,WH01,10,-2,93,45,2024-01-01 00:00:00
P0002,WH03,1,-11,101,48,2024-01-01 00:00:00
P0002,WH03,2,-9,118,57,2024-01-01 00:00:00
P0002,WH03,3,-10,104,49,2024-01-01 00:00:00
P0002,WH03,4,-16,106,53,2024-01-01 00:00:00
P0002,WH03,5,-12,110,54,2024-01-01 00:00:00
P0002,WH03,6,-6,108,49,2024-01-01 00:00:00
P0002,WH03,7,-8,109,52,2024-01-01 00:00:00
P0002,WH03,8,3,106,48,2024-01-01 00:00:00
P0002,WH03,9,-4,109,59,2024-01-01 00:00:00
P0002,WH03,10,-6,110,49,2024-01-01 00:00:00
P0002,WH04,1,-10,102,51,2024-01-01 00:00:00
P0002,WH04,2,-13,103,52,2024-01-01 00:00:00
P0002,WH04,3,-11,107,52,2024-01-01 00:00:00
P0002,WH04,4,-14,108,57,2024-01-01 00:00:00
P0002,WH04,5,-13,120,61,2024-01-01 00:00:00
P0002,WH04,6,-15,107,58,2024-01-01 00:00:00
P0002,WH04,7,-15,109,58,2024-01-01 00:00:00
P0002,WH04,8,5,113,60,2024-01-01 00:00:00
P0002,WH04,9,-3,106,52,2024-01-01 00:00:00
P0002,WH04,10,-3,108,51,2024-01-01 00:00:00
P0002,WH05,1,-13,120,60,2024-01-01 00:00:00
P0002,WH05,2,-11,126,65,2024-01-01 00:00:00
P0002,WH05,3,-19,128,66,2024-01-01 00:00:00
P0002,WH05,4,-18,106,58,2024-01-01 00:00:00
P0002,WH05,5,-22,120,61,2024-01-01 00:00:00
P0002,WH05,6,-5,107,58,2024-01-01 00:00:00
P0002,WH05,7,-10,120,63,2024-01-01 00:00:00
P0002,WH05,8,-6,112,60,2024-01-01 00:00:00
P0002,WH05,9,-4,113,66,2024-01-01 00:00:00
P0002,WH05,10,-8,118,57,2024-01-01 00:00:00
P0002,WH06,1,-10,281,18,2024-01-01 00:00:00
P0002,WH06,2,-11,278,17,2024-01-01 00:00:00
P0002,WH06,3,-4,272,22,2024-01-01 00:00:00
P0002,WH06,4,12,281,23,2024-01-01 00:00:00
P0002,WH06,5,-7,292,19,2024-01-01 00:00:00
P0002,WH06,6,-7,274,17,2024-01-01 00:00:00
P0002,WH06,7,0,280,21,2024-01-01 00:00:00
P0002,WH06,8,-4,277,17,2024-01-01 00:00:00
P0002,WH06,9,-11,273,17,2024-01-01 00:00:00
P0002,WH06,10,-2,288,17,2024-01-01 00:00:00
P0003,WH01,1,-5,102,51,2024-01-01 00:00:00
P0003,WH01,2,-4,104,55,2024-01-01 00:00:00
P0003,WH01,3,-12,99,43,2024-01-01 00:00:00
P0003,WH01,4,-15,98,46,2024-01-01 00:00:00
P0003,WH01,5,-12,105,53,2024-01-01 00:00:00
