product_id,pack_multiple,warehouse_count,total_beginning_inventory,total_capacity,early_donor_surplus_no_plt,early_receiver_shortage_no_plt,recommended_source_warehouse,recommended_receiver_warehouses,difficulty_group,difficulty_score,source_dataset
D2_P0095,4,5,339,434,1143,1865,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.27134,D2
D2_P0115,4,5,340,440,1169,1938,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.342772,D2
D2_P0222,3,5,354,481,1295,2034,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.26819,D2
D2_P0254,12,5,426,544,1640,2246,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.343244,D2
D2_P0302,4,5,382,514,1386,2131,WH06,WH01;WH03;WH04;WH05,G1_low,0.235634,D2
D2_P0396,4,5,408,483,1750,2045,WH06,WH01;WH03;WH04;WH05,G1_low,0.228882,D2
D2_P0694,3,5,425,463,1707,2092,WH06,WH01;WH03;WH04;WH05,G1_low,0.199008,D2
D2_P0741,3,5,463,495,1659,2074,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.315358,D2
D2_P1055,4,5,317,472,1145,1942,WH06,WH01;WH03;WH04;WH05,G1_low,0.209889,D2
D2_P1087,4,5,316,517,1104,2071,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.28644,D2
D2_P1296,4,5,347,474,1262,2013,WH06,WH01;WH03;WH04;WH05,G1_low,0.215781,D2
D2_P1313,6,5,374,483,1407,1955,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.291942,D2
D2_P1390,4,5,385,475,1457,2089,WH06,WH01;WH03;WH04;WH05,G1_low,0.238203,D2
D2_P1511,4,5,398,486,1491,2082,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.311394,D2
D2_P1521,4,5,448,464,1595,1929,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.437104,D2
D2_P1599,4,5,428,445,1404,2101,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.402438,D2
D2_P1969,4,5,440,516,1636,2279,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.265458,D2
D2_P1998,6,5,327,479,1069,1892,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.295814,D2
D2_P2002,4,5,331,454,1151,1802,WH06,WH01;WH03;WH04;WH05,G1_low,0.228289,D2
D2_P2158,6,5,349,504,1368,2177,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.294458,D2
D2_P2189,4,5,377,460,1290,1895,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.37008,D2
D2_P2194,4,5,390,491,1392,1954,WH06,WH01;WH03;WH04;WH05,G1_low,0.225563,D2
D2_P2195,2,5,411,496,1601,2015,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.281503,D2
D2_P2232,4,5,422,472,1560,2025,WH06,WH01;WH03;WH04;WH05,G1_low,0.203428,D2
D2_P2237,2,5,422,516,1541,2162,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.255617,D2
D2_P0119,3,5,469,592,1884,2587,WH06,WH01;WH03;WH04;WH05,G1_low,0.237528,D2
D2_P0120,3,5,364,552,1462,2241,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.250232,D2
D2_P0165,3,5,368,587,1463,2320,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.299203,D2
D2_P0178,3,5,374,593,1384,2393,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.383386,D2
D2_P0235,3,5,402,615,1615,2563,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.365776,D2
D2_P0289,4,5,423,591,1673,2381,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.289431,D2
D2_P0477,4,5,429,624,1716,2632,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.433702,D2
D2_P0549,4,5,449,613,1782,2548,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.293795,D2
D2_P0839,4,5,445,667,1713,2713,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.351538,D2
D2_P0852,4,5,463,578,1625,2484,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.333651,D2
