source_set,source_product_id,target_d1_product_id,target_packing_details_id
D2,P0095,P0001,1
D2,P0115,P0002,2
D2,P0222,P0003,3
D2,P0254,P0004,4
D2,P0302,P0005,5
D2,P0396,P0008,8
D2,P0694,P0011,11
D2,P0741,P0014,14
D2,P1055,P0015,15
D2,P1087,P0019,19
D2,P1296,P0020,20
D2,P1313,P0021,21
D2,P1390,P0044,44
D2,P1511,P0045,45
D2,P1521,P0053,53
D2,P1599,P0054,54
D2,P1969,P0055,55
D2,P1998,P0069,69
D2,P2002,P0070,70
D2,P2158,P0091,91
D2,P2189,P0095,95
D2,P2194,P0100,100
D2,P2195,P0101,101
D2,P2232,P0102,102
D2,P2237,P0105,105
D2,P0119,P0106,106
D2,P0120,P0107,107
D2,P0165,P0109,109
D2,P0178,P0110,110
D2,P0235,P0111,111
D2,P0289,P0112,112
D2,P0477,P0113,113
D2,P0549,P0115,115
D2,P0839,P0118,118
D2,P0852,P0119,119
D2,P0927,P0120,120
D2,P1001,P0121,121
D2,P1109,P0124,124
D2,P1225,P0126,126
D2,P1235,P0140,140
D2,P1318,P0142,142
D2,P1598,P0143,143
D2,P1797,P0144,144
D2,P1808,P0145,145
D2,P1968,P0151,151
D2,P2113,P0154,154
D2,P2156,P0155,155
D2,P2157,P0156,156
D2,P2159,P0157,157
D2,P2184,P0163,163
D2,P0118,P0164,164
D2,P0140,P0165,165
D2,P0155,P0166,166
D2,P0188,P0167,167
D2,P0231,P0168,168
D2,P0281,P0174,174
D2,P0404,P0175,175
D2,P0462,P0176,176
D2,P0601,P0177,177
D2,P0628,P0178,178
D2,P0830,P0179,179
D2,P0865,P0183,183
D2,P1038,P0188,188
D2,P1172,P0194,194
D2,P1193,P0195,195
D2,P1639,P0196,196
D2,P1917,P0197,197
D2,P1947,P0217,217
D2,P1961,P0218,218
D2,P1971,P0219,219
D2,P2086,P0220,220
D2,P2091,P0221,221
D2,P2093,P0222,222
D2,P2097,P0223,223
D2,P2108,P0228,228
D2,P0179,P0229,229
D2,P0183,P0230,230
D2,P0264,P0231,231
D2,P0296,P0232,232
D2,P0341,P0233,233
D2,P0416,P0234,234
D2,P0519,P0235,235
D2,P0652,P0236,236
D2,P0817,P0239,239
D2,P0825,P0240,240
D2,P0900,P0251,251
D2,P0905,P0254,254
D2,P0968,P0257,257
D2,P1168,P0264,264
D2,P1192,P0265,265
D2,P1254,P0272,272
D2,P1640,P0273,273
D2,P1866,P0274,274
D2,P1869,P0276,276
D2,P1924,P0277,277
D2,P2028,P0278,278
D2,P2044,P0279,279
D2,P2088,P0280,280
D2,P2094,P0281,281
D2,P2096,P0282,282
D3,P0095,P0283,283
D3,P0115,P0285,285
D3,P0222,P0286,286
D3,P0254,P0287,287
D3,P0302,P0288,288
D3,P0396,P0289,289
D3,P0694,P0290,290
D3,P0741,P0291,291
D3,P1055,P0292,292
D3,P1087,P0293,293
D3,P1296,P0294,294
D3,P1313,P0295,295
D3,P1390,P0296,296
D3,P1511,P0297,297
D3,P1521,P0298,298
D3,P1599,P0299,299
D3,P1969,P0300,300
D3,P1998,P0302,302
D3,P2002,P0304,304
D3,P2158,P0305,305
D3,P2189,P0306,306
D3,P2194,P0307,307
D3,P2195,P0308,308
D3,P2232,P0318,318
D3,P2237,P0319,319
D3,P0119,P0320,320
D3,P0120,P0321,321
D3,P0165,P0322,322
D3,P0178,P0323,323
D3,P0235,P0324,324
D3,P0289,P0325,325
D3,P0477,P0326,326
D3,P0549,P0327,327
D3,P0839,P0331,331
D3,P0852,P0332,332
D3,P0927,P0333,333
D3,P1001,P0339,339
D3,P1109,P0340,340
D3,P1225,P0341,341
D3,P1235,P0343,343
D3,P1318,P0344,344
D3,P1598,P0345,345
D3,P1797,P0346,346
D3,P1808,P0347,347
D3,P1968,P0348,348
D3,P2113,P0349,349
D3,P2156,P0350,350
D3,P2157,P0355,355
D3,P2159,P0356,356
D3,P2184,P0357,357
D3,P0118,P0374,374
D3,P0140,P0376,376
D3,P0155,P0377,377
D3,P0188,P0378,378
D3,P0231,P0379,379
D3,P0281,P0380,380
D3,P0404,P0382,382
D3,P0462,P0385,385
D3,P0601,P0387,387
D3,P0628,P0388,388
D3,P0830,P0389,389
D3,P0865,P0391,391
D3,P1038,P0395,395
D3,P1172,P0396,396
D3,P1193,P0397,397
D3,P1639,P0403,403
D3,P1917,P0404,404
D3,P1947,P0405,405
D3,P1961,P0408,408
D3,P1971,P0409,409
D3,P2086,P0410,410
D3,P2091,P0411,411
D3,P2093,P0413,413
D3,P2097,P0414,414
D3,P2108,P0416,416
D3,P0179,P0417,417
D3,P0183,P0418,418
D3,P0264,P0419,419
D3,P0296,P0426,426
D3,P0341,P0427,427
D3,P0416,P0428,428
D3,P0519,P0429,429
D3,P0652,P0430,430
D3,P0817,P0431,431
D3,P0825,P0432,432
D3,P0900,P0433,433
D3,P0905,P0434,434
D3,P0968,P0435,435
D3,P1168,P0436,436
D3,P1192,P0437,437
D3,P1254,P0438,438
D3,P1640,P0439,439
D3,P1866,P0450,450
D3,P1869,P0451,451
D3,P1924,P0452,452
D3,P2028,P0454,454
D3,P2044,P0455,455
D3,P2088,P0456,456
D3,P2094,P0457,457
D3,P2096,P0458,458
