product_id,source_dataset,original_product_id
D2_P0095,D2,P0095
D2_P0115,D2,P0115
D2_P0222,D2,P0222
D2_P0254,D2,P0254
D2_P0302,D2,P0302
D2_P0396,D2,P0396
D2_P0694,D2,P0694
D2_P0741,D2,P0741
D2_P1055,D2,P1055
D2_P1087,D2,P1087
D2_P1296,D2,P1296
D2_P1313,D2,P1313
D2_P1390,D2,P1390
D2_P1511,D2,P1511
D2_P1521,D2,P1521
D2_P1599,D2,P1599
D2_P1969,D2,P1969
D2_P1998,D2,P1998
D2_P2002,D2,P2002
D2_P2158,D2,P2158
D2_P2189,D2,P2189
D2_P2194,D2,P2194
D2_P2195,D2,P2195
D2_P2232,D2,P2232
D2_P2237,D2,P2237
D2_P0119,D2,P0119
D2_P0120,D2,P0120
D2_P0165,D2,P0165
D2_P0178,D2,P0178
D2_P0235,D2,P0235
D2_P0289,D2,P0289
D2_P0477,D2,P0477
D2_P0549,D2,P0549
D2_P0839,D2,P0839
D2_P0852,D2,P0852
D2_P0927,D2,P0927
D2_P1001,D2,P1001
D2_P1109,D2,P1109
D2_P1225,D2,P1225
D2_P1235,D2,P1235
D2_P1318,D2,P1318
D2_P1598,D2,P1598
D2_P1797,D2,P1797
D2_P1808,D2,P1808
D2_P1968,D2,P1968
D2_P2113,D2,P2113
D2_P2156,D2,P2156
D2_P2157,D2,P2157
D2_P2159,D2,P2159
D2_P2184,D2,P2184
D2_P0118,D2,P0118
D2_P0140,D2,P0140
D2_P0155,D2,P0155
D2_P0188,D2,P0188
D2_P0231,D2,P0231
D2_P0281,D2,P0281
D2_P0404,D2,P0404
D2_P0462,D2,P0462
D2_P0601,D2,P0601
D2_P0628,D2,P0628
D2_P0830,D2,P0830
D2_P0865,D2,P0865
D2_P1038,D2,P1038
D2_P1172,D2,P1172
D2_P1193,D2,P1193
D2_P1639,D2,P1639
D2_P1917,D2,P1917
D2_P1947,D2,P1947
D2_P1961,D2,P1961
D2_P1971,D2,P1971
D2_P2086,D2,P2086
D2_P2091,D2,P2091
D2_P2093,D2,P2093
D2_P2097,D2,P2097
D2_P2108,D2,P2108
D2_P0179,D2,P0179
D2_P0183,D2,P0183
D2_P0264,D2,P0264
D2_P0296,D2,P0296
D2_P0341,D2,P0341
D2_P0416,D2,P0416
D2_P0519,D2,P0519
D2_P0652,D2,P0652
D2_P0817,D2,P0817
D2_P0825,D2,P0825
D2_P0900,D2,P0900
D2_P0905,D2,P0905
D2_P0968,D2,P0968
D2_P1168,D2,P1168
D2_P1192,D2,P1192
D2_P1254,D2,P1254
D2_P1640,D2,P1640
D2_P1866,D2,P1866
D2_P1869,D2,P1869
D2_P1924,D2,P1924
D2_P2028,D2,P2028
D2_P2044,D2,P2044
D2_P2088,D2,P2088
D2_P2094,D2,P2094
D2_P2096,D2,P2096
D3_P0095,D3,P0095
D3_P0115,D3,P0115
D3_P0222,D3,P0222
D3_P0254,D3,P0254
D3_P0302,D3,P0302
D3_P0396,D3,P0396
D3_P0694,D3,P0694
D3_P0741,D3,P0741
D3_P1055,D3,P1055
D3_P1087,D3,P1087
D3_P1296,D3,P1296
D3_P1313,D3,P1313
D3_P1390,D3,P1390
D3_P1511,D3,P1511
D3_P1521,D3,P1521
D3_P1599,D3,P1599
D3_P1969,D3,P1969
D3_P1998,D3,P1998
D3_P2002,D3,P2002
D3_P2158,D3,P2158
D3_P2189,D3,P2189
D3_P2194,D3,P2194
D3_P2195,D3,P2195
D3_P2232,D3,P2232
D3_P2237,D3,P2237
D3_P0119,D3,P0119
D3_P0120,D3,P0120
D3_P0165,D3,P0165
D3_P0178,D3,P0178
D3_P0235,D3,P0235
D3_P0289,D3,P0289
D3_P0477,D3,P0477
D3_P0549,D3,P0549
D3_P0839,D3,P0839
