source_dataset,source_folder,original_product_id,new_product_id
D2,sample_100_fixed,P0095,D2_P0095
D2,sample_100_fixed,P0115,D2_P0115
D2,sample_100_fixed,P0222,D2_P0222
D2,sample_100_fixed,P0254,D2_P0254
D2,sample_100_fixed,P0302,D2_P0302
D2,sample_100_fixed,P0396,D2_P0396
D2,sample_100_fixed,P0694,D2_P0694
D2,sample_100_fixed,P0741,D2_P0741
D2,sample_100_fixed,P1055,D2_P1055
D2,sample_100_fixed,P1087,D2_P1087
D2,sample_100_fixed,P1296,D2_P1296
D2,sample_100_fixed,P1313,D2_P1313
D2,sample_100_fixed,P1390,D2_P1390
D2,sample_100_fixed,P1511,D2_P1511
D2,sample_100_fixed,P1521,D2_P1521
D2,sample_100_fixed,P1599,D2_P1599
D2,sample_100_fixed,P1969,D2_P1969
D2,sample_100_fixed,P1998,D2_P1998
D2,sample_100_fixed,P2002,D2_P2002
D2,sample_100_fixed,P2158,D2_P2158
D2,sample_100_fixed,P2189,D2_P2189
D2,sample_100_fixed,P2194,D2_P2194
D2,sample_100_fixed,P2195,D2_P2195
D2,sample_100_fixed,P2232,D2_P2232
D2,sample_100_fixed,P2237,D2_P2237
D2,sample_100_fixed,P0119,D2_P0119
D2,sample_100_fixed,P0120,D2_P0120
D2,sample_100_fixed,P0165,D2_P0165
D2,sample_100_fixed,P0178,D2_P0178
D2,sample_100_fixed,P0235,D2_P0235
D2,sample_100_fixed,P0289,D2_P0289
D2,sample_100_fixed,P0477,D2_P0477
D2,sample_100_fixed,P0549,D2_P0549
D2,sample_100_fixed,P0839,D2_P0839
D2,sample_100_fixed,P0852,D2_P0852
D2,sample_100_fixed,P0927,D2_P0927
D2,sample_100_fixed,P1001,D2_P1001
D2,sample_100_fixed,P1109,D2_P1109
D2,sample_100_fixed,P1225,D2_P1225
D2,sample_100_fixed,P1235,D2_P1235
D2,sample_100_fixed,P1318,D2_P1318
D2,sample_100_fixed,P1598,D2_P1598
D2,sample_100_fixed,P1797,D2_P1797
D2,sample_100_fixed,P1808,D2_P1808
D2,sample_100_fixed,P1968,D2_P1968
D2,sample_100_fixed,P2113,D2_P2113
D2,sample_100_fixed,P2156,D2_P2156
D2,sample_100_fixed,P2157,D2_P2157
D2,sample_100_fixed,P2159,D2_P2159
D2,sample_100_fixed,P2184,D2_P2184
D2,sample_100_fixed,P0118,D2_P0118
D2,sample_100_fixed,P0140,D2_P0140
D2,sample_100_fixed,P0155,D2_P0155
D2,sample_100_fixed,P0188,D2_P0188
D2,sample_100_fixed,P0231,D2_P0231
D2,sample_100_fixed,P0281,D2_P0281
D2,sample_100_fixed,P0404,D2_P0404
D2,sample_100_fixed,P0462,D2_P0462
D2,sample_100_fixed,P0601,D2_P0601
D2,sample_100_fixed,P0628,D2_P0628
D2,sample_100_fixed,P0830,D2_P0830
D2,sample_100_fixed,P0865,D2_P0865
D2,sample_100_fixed,P1038,D2_P1038
D2,sample_100_fixed,P1172,D2_P1172
D2,sample_100_fixed,P1193,D2_P1193
D2,sample_100_fixed,P1639,D2_P1639
D2,sample_100_fixed,P1917,D2_P1917
D2,sample_100_fixed,P1947,D2_P1947
D2,sample_100_fixed,P1961,D2_P1961
D2,sample_100_fixed,P1971,D2_P1971
D2,sample_100_fixed,P2086,D2_P2086
D2,sample_100_fixed,P2091,D2_P2091
D2,sample_100_fixed,P2093,D2_P2093
D2,sample_100_fixed,P2097,D2_P2097
D2,sample_100_fixed,P2108,D2_P2108
D2,sample_100_fixed,P0179,D2_P0179
D2,sample_100_fixed,P0183,D2_P0183
D2,sample_100_fixed,P0264,D2_P0264
D2,sample_100_fixed,P0296,D2_P0296
D2,sample_100_fixed,P0341,D2_P0341
D2,sample_100_fixed,P0416,D2_P0416
D2,sample_100_fixed,P0519,D2_P0519
D2,sample_100_fixed,P0652,D2_P0652
D2,sample_100_fixed,P0817,D2_P0817
D2,sample_100_fixed,P0825,D2_P0825
D2,sample_100_fixed,P0900,D2_P0900
