product_id,time_period,capacity,created_at
P0001,1,47,2024-01-01 00:00:00
P0001,2,51,2024-01-01 00:00:00
P0001,3,48,2024-01-01 00:00:00
P0001,4,48,2024-01-01 00:00:00
P0001,5,45,2024-01-01 00:00:00
P0001,6,43,2024-01-01 00:00:00
P0001,7,51,2024-01-01 00:00:00
P0001,8,34,2024-01-01 00:00:00
P0001,9,31,2024-01-01 00:00:00
P0001,10,36,2024-01-01 00:00:00
P0002,1,50,2024-01-01 00:00:00
P0002,2,54,2024-01-01 00:00:00
P0002,3,51,2024-01-01 00:00:00
P0002,4,47,2024-01-01 00:00:00
P0002,5,40,2024-01-01 00:00:00
P0002,6,43,2024-01-01 00:00:00
P0002,7,47,2024-01-01 00:00:00
P0002,8,32,2024-01-01 00:00:00
P0002,9,39,2024-01-01 00:00:00
P0002,10,37,2024-01-01 00:00:00
P0003,1,57,2024-01-01 00:00:00
P0003,2,60,2024-01-01 00:00:00
P0003,3,55,2024-01-01 00:00:00
P0003,4,54,2024-01-01 00:00:00
P0003,5,46,2024-01-01 00:00:00
P0003,6,47,2024-01-01 00:00:00
P0003,7,53,2024-01-01 00:00:00
P0003,8,36,2024-01-01 00:00:00
P0003,9,38,2024-01-01 00:00:00
P0003,10,35,2024-01-01 00:00:00
P0004,1,62,2024-01-01 00:00:00
P0004,2,64,2024-01-01 00:00:00
P0004,3,64,2024-01-01 00:00:00
P0004,4,60,2024-01-01 00:00:00
P0004,5,53,2024-01-01 00:00:00
P0004,6,56,2024-01-01 00:00:00
P0004,7,50,2024-01-01 00:00:00
P0004,8,49,2024-01-01 00:00:00
P0004,9,49,2024-01-01 00:00:00
P0004,10,37,2024-01-01 00:00:00
P0005,1,57,2024-01-01 00:00:00
P0005,2,57,2024-01-01 00:00:00
P0005,3,54,2024-01-01 00:00:00
P0005,4,58,2024-01-01 00:00:00
P0005,5,54,2024-01-01 00:00:00
P0005,6,58,2024-01-01 00:00:00
P0005,7,49,2024-01-01 00:00:00
P0005,8,43,2024-01-01 00:00:00
P0005,9,44,2024-01-01 00:00:00
P0005,10,40,2024-01-01 00:00:00
P0006,1,73,2024-01-01 00:00:00
P0006,2,80,2024-01-01 00:00:00
P0006,3,81,2024-01-01 00:00:00
P0006,4,61,2024-01-01 00:00:00
P0006,5,84,2024-01-01 00:00:00
P0006,6,89,2024-01-01 00:00:00
P0006,7,46,2024-01-01 00:00:00
P0006,8,59,2024-01-01 00:00:00
P0006,9,85,2024-01-01 00:00:00
P0006,10,79,2024-01-01 00:00:00
P0007,1,104,2024-01-01 00:00:00
P0007,2,99,2024-01-01 00:00:00
P0007,3,84,2024-01-01 00:00:00
P0007,4,68,2024-01-01 00:00:00
P0007,5,86,2024-01-01 00:00:00
P0007,6,89,2024-01-01 00:00:00
P0007,7,93,2024-01-01 00:00:00
P0007,8,74,2024-01-01 00:00:00
P0007,9,85,2024-01-01 00:00:00
P0007,10,60,2024-01-01 00:00:00
P0008,1,49,2024-01-01 00:00:00
P0008,2,51,2024-01-01 00:00:00
P0008,3,50,2024-01-01 00:00:00
P0008,4,53,2024-01-01 00:00:00
P0008,5,53,2024-01-01 00:00:00
P0008,6,55,2024-01-01 00:00:00
P0008,7,50,2024-01-01 00:00:00
P0008,8,42,2024-01-01 00:00:00
P0008,9,46,2024-01-01 00:00:00
P0008,10,34,2024-01-01 00:00:00
P0009,1,87,2024-01-01 00:00:00
P0009,2,98,2024-01-01 00:00:00
P0009,3,68,2024-01-01 00:00:00
P0009,4,46,2024-01-01 00:00:00
P0009,5,100,2024-01-01 00:00:00
P0009,6,101,2024-01-01 00:00:00
P0009,7,63,2024-01-01 00:00:00
P0009,8,80,2024-01-01 00:00:00
P0009,9,90,2024-01-01 00:00:00
P0009,10,47,2024-01-01 00:00:00
P0010,1,66,2024-01-01 00:00:00
P0010,2,86,2024-01-01 00:00:00
P0010,3,89,2024-01-01 00:00:00
P0010,4,68,2024-01-01 00:00:00
P0010,5,95,2024-01-01 00:00:00
P0010,6,53,2024-01-01 00:00:00
P0010,7,88,2024-01-01 00:00:00
P0010,8,47,2024-01-01 00:00:00
P0010,9,83,2024-01-01 00:00:00
P0010,10,94,2024-01-01 00:00:00
P0011,1,50,2024-01-01 00:00:00
P0011,2,50,2024-01-01 00:00:00
P0011,3,48,2024-01-01 00:00:00
P0011,4,47,2024-01-01 00:00:00
P0011,5,52,2024-01-01 00:00:00
P0011,6,47,2024-01-01 00:00:00
P0011,7,54,2024-01-01 00:00:00
P0011,8,43,2024-01-01 00:00:00
P0011,9,33,2024-01-01 00:00:00
P0011,10,39,2024-01-01 00:00:00
P0012,1,55,2024-01-01 00:00:00
P0012,2,91,2024-01-01 00:00:00
P0012,3,60,2024-01-01 00:00:00
P0012,4,60,2024-01-01 00:00:00
P0012,5,79,2024-01-01 00:00:00
P0012,6,59,2024-01-01 00:00:00
P0012,7,63,2024-01-01 00:00:00
P0012,8,100,2024-01-01 00:00:00
P0012,9,48,2024-01-01 00:00:00
P0012,10,88,2024-01-01 00:00:00
P0013,1,63,2024-01-01 00:00:00
P0013,2,54,2024-01-01 00:00:00
P0013,3,66,2024-01-01 00:00:00
P0013,4,90,2024-01-01 00:00:00
P0013,5,99,2024-01-01 00:00:00
P0013,6,101,2024-01-01 00:00:00
P0013,7,84,2024-01-01 00:00:00
P0013,8,65,2024-01-01 00:00:00
P0013,9,79,2024-01-01 00:00:00
P0013,10,80,2024-01-01 00:00:00
P0014,1,53,2024-01-01 00:00:00
P0014,2,56,2024-01-01 00:00:00
P0014,3,50,2024-01-01 00:00:00
P0014,4,56,2024-01-01 00:00:00
P0014,5,55,2024-01-01 00:00:00
P0014,6,54,2024-01-01 00:00:00
P0014,7,56,2024-01-01 00:00:00
P0014,8,35,2024-01-01 00:00:00
P0014,9,45,2024-01-01 00:00:00
P0014,10,35,2024-01-01 00:00:00
P0015,1,57,2024-01-01 00:00:00
P0015,2,48,2024-01-01 00:00:00
P0015,3,60,2024-01-01 00:00:00
P0015,4,44,2024-01-01 00:00:00
P0015,5,47,2024-01-01 00:00:00
P0015,6,48,2024-01-01 00:00:00
P0015,7,50,2024-01-01 00:00:00
P0015,8,37,2024-01-01 00:00:00
P0015,9,44,2024-01-01 00:00:00
P0015,10,37,2024-01-01 00:00:00
P0016,1,49,2024-01-01 00:00:00
P0016,2,69,2024-01-01 00:00:00
P0016,3,76,2024-01-01 00:00:00
P0016,4,68,2024-01-01 00:00:00
P0016,5,57,2024-01-01 00:00:00
P0016,6,81,2024-01-01 00:00:00
P0016,7,81,2024-01-01 00:00:00
P0016,8,95,2024-01-01 00:00:00
P0016,9,45,2024-01-01 00:00:00
P0016,10,57,2024-01-01 00:00:00
P0017,1,88,2024-01-01 00:00:00
P0017,2,99,2024-01-01 00:00:00
P0017,3,52,2024-01-01 00:00:00
P0017,4,47,2024-01-01 00:00:00
P0017,5,99,2024-01-01 00:00:00
P0017,6,79,2024-01-01 00:00:00
P0017,7,62,2024-01-01 00:00:00
P0017,8,91,2024-01-01 00:00:00
P0017,9,53,2024-01-01 00:00:00
P0017,10,76,2024-01-01 00:00:00
P0018,1,60,2024-01-01 00:00:00
P0018,2,65,2024-01-01 00:00:00
