product_id,warehouse_id,beginning_inventory,effective_date,created_at
P0095,WH01,35,2024-01-01,2024-01-01 00:00:00
P0095,WH03,20,2024-01-01,2024-01-01 00:00:00
P0095,WH04,15,2024-01-01,2024-01-01 00:00:00
P0095,WH05,57,2024-01-01,2024-01-01 00:00:00
P0095,WH06,212,2024-01-01,2024-01-01 00:00:00
P0115,WH01,38,2024-01-01,2024-01-01 00:00:00
P0115,WH03,17,2024-01-01,2024-01-01 00:00:00
P0115,WH04,17,2024-01-01,2024-01-01 00:00:00
P0115,WH05,61,2024-01-01,2024-01-01 00:00:00
P0115,WH06,207,2024-01-01,2024-01-01 00:00:00
P0222,WH01,43,2024-01-01,2024-01-01 00:00:00
P0222,WH03,22,2024-01-01,2024-01-01 00:00:00
P0222,WH04,17,2024-01-01,2024-01-01 00:00:00
P0222,WH05,57,2024-01-01,2024-01-01 00:00:00
P0222,WH06,215,2024-01-01,2024-01-01 00:00:00
P0254,WH01,50,2024-01-01,2024-01-01 00:00:00
P0254,WH03,30,2024-01-01,2024-01-01 00:00:00
P0254,WH04,19,2024-01-01,2024-01-01 00:00:00
P0254,WH05,61,2024-01-01,2024-01-01 00:00:00
P0254,WH06,266,2024-01-01,2024-01-01 00:00:00
P0302,WH01,35,2024-01-01,2024-01-01 00:00:00
P0302,WH03,25,2024-01-01,2024-01-01 00:00:00
P0302,WH04,20,2024-01-01,2024-01-01 00:00:00
P0302,WH05,63,2024-01-01,2024-01-01 00:00:00
P0302,WH06,239,2024-01-01,2024-01-01 00:00:00
P0396,WH01,35,2024-01-01,2024-01-01 00:00:00
P0396,WH03,21,2024-01-01,2024-01-01 00:00:00
P0396,WH04,22,2024-01-01,2024-01-01 00:00:00
P0396,WH05,57,2024-01-01,2024-01-01 00:00:00
P0396,WH06,273,2024-01-01,2024-01-01 00:00:00
P0694,WH01,46,2024-01-01,2024-01-01 00:00:00
P0694,WH03,26,2024-01-01,2024-01-01 00:00:00
P0694,WH04,21,2024-01-01,2024-01-01 00:00:00
P0694,WH05,63,2024-01-01,2024-01-01 00:00:00
P0694,WH06,269,2024-01-01,2024-01-01 00:00:00
P0741,WH01,49,2024-01-01,2024-01-01 00:00:00
P0741,WH03,24,2024-01-01,2024-01-01 00:00:00
P0741,WH04,31,2024-01-01,2024-01-01 00:00:00
P0741,WH05,69,2024-01-01,2024-01-01 00:00:00
P0741,WH06,290,2024-01-01,2024-01-01 00:00:00
P1055,WH01,29,2024-01-01,2024-01-01 00:00:00
P1055,WH03,26,2024-01-01,2024-01-01 00:00:00
P1055,WH04,18,2024-01-01,2024-01-01 00:00:00
P1055,WH05,44,2024-01-01,2024-01-01 00:00:00
P1055,WH06,200,2024-01-01,2024-01-01 00:00:00
P1087,WH01,33,2024-01-01,2024-01-01 00:00:00
P1087,WH03,22,2024-01-01,2024-01-01 00:00:00
P1087,WH04,13,2024-01-01,2024-01-01 00:00:00
P1087,WH05,51,2024-01-01,2024-01-01 00:00:00
P1087,WH06,197,2024-01-01,2024-01-01 00:00:00
P1296,WH01,33,2024-01-01,2024-01-01 00:00:00
P1296,WH03,17,2024-01-01,2024-01-01 00:00:00
P1296,WH04,18,2024-01-01,2024-01-01 00:00:00
P1296,WH05,59,2024-01-01,2024-01-01 00:00:00
P1296,WH06,220,2024-01-01,2024-01-01 00:00:00
P1313,WH01,35,2024-01-01,2024-01-01 00:00:00
P1313,WH03,23,2024-01-01,2024-01-01 00:00:00
P1313,WH04,25,2024-01-01,2024-01-01 00:00:00
P1313,WH05,59,2024-01-01,2024-01-01 00:00:00
P1313,WH06,232,2024-01-01,2024-01-01 00:00:00
P1390,WH01,39,2024-01-01,2024-01-01 00:00:00
P1390,WH03,22,2024-01-01,2024-01-01 00:00:00
P1390,WH04,19,2024-01-01,2024-01-01 00:00:00
P1390,WH05,53,2024-01-01,2024-01-01 00:00:00
P1390,WH06,252,2024-01-01,2024-01-01 00:00:00
P1511,WH01,33,2024-01-01,2024-01-01 00:00:00
P1511,WH03,26,2024-01-01,2024-01-01 00:00:00
P1511,WH04,25,2024-01-01,2024-01-01 00:00:00
P1511,WH05,67,2024-01-01,2024-01-01 00:00:00
P1511,WH06,247,2024-01-01,2024-01-01 00:00:00
P1521,WH01,48,2024-01-01,2024-01-01 00:00:00
P1521,WH03,24,2024-01-01,2024-01-01 00:00:00
P1521,WH04,28,2024-01-01,2024-01-01 00:00:00
P1521,WH05,71,2024-01-01,2024-01-01 00:00:00
P1521,WH06,277,2024-01-01,2024-01-01 00:00:00
P1599,WH01,45,2024-01-01,2024-01-01 00:00:00
P1599,WH03,26,2024-01-01,2024-01-01 00:00:00
P1599,WH04,29,2024-01-01,2024-01-01 00:00:00
P1599,WH05,73,2024-01-01,2024-01-01 00:00:00
P1599,WH06,255,2024-01-01,2024-01-01 00:00:00
P1969,WH01,47,2024-01-01,2024-01-01 00:00:00
P1969,WH03,25,2024-01-01,2024-01-01 00:00:00
P1969,WH04,23,2024-01-01,2024-01-01 00:00:00
P1969,WH05,64,2024-01-01,2024-01-01 00:00:00
P1969,WH06,281,2024-01-01,2024-01-01 00:00:00
P1998,WH01,32,2024-01-01,2024-01-01 00:00:00
P1998,WH03,21,2024-01-01,2024-01-01 00:00:00
P1998,WH04,24,2024-01-01,2024-01-01 00:00:00
P1998,WH05,53,2024-01-01,2024-01-01 00:00:00
P1998,WH06,197,2024-01-01,2024-01-01 00:00:00
P2002,WH01,40,2024-01-01,2024-01-01 00:00:00
