product_id,warehouse_id,time_period,inventory_fluctuation,inventory_ceiling,inventory_floor,created_at
P0095,WH01,1,-8,109,50,2024-01-01 00:00:00
P0095,WH01,2,-5,105,45,2024-01-01 00:00:00
P0095,WH01,3,-16,98,42,2024-01-01 00:00:00
P0095,WH01,4,-13,108,48,2024-01-01 00:00:00
P0095,WH01,5,-12,99,49,2024-01-01 00:00:00
P0095,WH01,6,-5,101,41,2024-01-01 00:00:00
P0095,WH01,7,-8,105,47,2024-01-01 00:00:00
P0095,WH01,8,-5,103,47,2024-01-01 00:00:00
P0095,WH01,9,-8,92,43,2024-01-01 00:00:00
P0095,WH01,10,-3,94,43,2024-01-01 00:00:00
P0095,WH03,1,-9,97,50,2024-01-01 00:00:00
P0095,WH03,2,-7,106,49,2024-01-01 00:00:00
P0095,WH03,3,-14,107,55,2024-01-01 00:00:00
P0095,WH03,4,-17,105,49,2024-01-01 00:00:00
P0095,WH03,5,-16,109,47,2024-01-01 00:00:00
P0095,WH03,6,-13,99,46,2024-01-01 00:00:00
P0095,WH03,7,-7,102,50,2024-01-01 00:00:00
P0095,WH03,8,2,103,55,2024-01-01 00:00:00
P0095,WH03,9,-3,103,53,2024-01-01 00:00:00
P0095,WH03,10,-7,101,53,2024-01-01 00:00:00
P0095,WH04,1,-8,106,58,2024-01-01 00:00:00
P0095,WH04,2,-13,113,54,2024-01-01 00:00:00
P0095,WH04,3,-11,109,47,2024-01-01 00:00:00
P0095,WH04,4,-18,116,56,2024-01-01 00:00:00
P0095,WH04,5,-17,111,49,2024-01-01 00:00:00
P0095,WH04,6,-13,114,54,2024-01-01 00:00:00
P0095,WH04,7,-8,105,53,2024-01-01 00:00:00
P0095,WH04,8,4,117,57,2024-01-01 00:00:00
P0095,WH04,9,-6,112,54,2024-01-01 00:00:00
P0095,WH04,10,-8,97,49,2024-01-01 00:00:00
P0095,WH05,1,-14,113,61,2024-01-01 00:00:00
P0095,WH05,2,-10,127,65,2024-01-01 00:00:00
P0095,WH05,3,-9,108,56,2024-01-01 00:00:00
P0095,WH05,4,-19,112,62,2024-01-01 00:00:00
P0095,WH05,5,-12,118,62,2024-01-01 00:00:00
P0095,WH05,6,-11,110,62,2024-01-01 00:00:00
P0095,WH05,7,-6,109,62,2024-01-01 00:00:00
P0095,WH05,8,-2,115,54,2024-01-01 00:00:00
P0095,WH05,9,-8,116,55,2024-01-01 00:00:00
P0095,WH05,10,-6,116,63,2024-01-01 00:00:00
P0095,WH06,1,-8,289,22,2024-01-01 00:00:00
