packing_details_id,product_id,box_id,pack_multiple,created_at
95,P0095,BOX-04,4,2024-01-01 00:00:00
115,P0115,BOX-04,4,2024-01-01 00:00:00
222,P0222,BOX-03,3,2024-01-01 00:00:00
254,P0254,BOX-11,12,2024-01-01 00:00:00
302,P0302,BOX-04,4,2024-01-01 00:00:00
396,P0396,BOX-04,4,2024-01-01 00:00:00
694,P0694,BOX-03,3,2024-01-01 00:00:00
741,P0741,BOX-03,3,2024-01-01 00:00:00
1055,P1055,BOX-04,4,2024-01-01 00:00:00
1087,P1087,BOX-04,4,2024-01-01 00:00:00
1296,P1296,BOX-04,4,2024-01-01 00:00:00
1313,P1313,BOX-06,6,2024-01-01 00:00:00
1390,P1390,BOX-04,4,2024-01-01 00:00:00
1511,P1511,BOX-04,4,2024-01-01 00:00:00
1521,P1521,BOX-04,4,2024-01-01 00:00:00
1599,P1599,BOX-04,4,2024-01-01 00:00:00
1969,P1969,BOX-04,4,2024-01-01 00:00:00
1998,P1998,BOX-06,6,2024-01-01 00:00:00
2002,P2002,BOX-04,4,2024-01-01 00:00:00
2158,P2158,BOX-06,6,2024-01-01 00:00:00
2189,P2189,BOX-04,4,2024-01-01 00:00:00
2194,P2194,BOX-04,4,2024-01-01 00:00:00
2195,P2195,BOX-02,2,2024-01-01 00:00:00
2232,P2232,BOX-04,4,2024-01-01 00:00:00
2237,P2237,BOX-02,2,2024-01-01 00:00:00
119,P0119,BOX-03,3,2024-01-01 00:00:00
120,P0120,BOX-03,3,2024-01-01 00:00:00
165,P0165,BOX-03,3,2024-01-01 00:00:00
178,P0178,BOX-03,3,2024-01-01 00:00:00
235,P0235,BOX-03,3,2024-01-01 00:00:00
289,P0289,BOX-04,4,2024-01-01 00:00:00
477,P0477,BOX-04,4,2024-01-01 00:00:00
549,P0549,BOX-04,4,2024-01-01 00:00:00
839,P0839,BOX-04,4,2024-01-01 00:00:00
852,P0852,BOX-04,4,2024-01-01 00:00:00
927,P0927,BOX-02,2,2024-01-01 00:00:00
1001,P1001,BOX-04,4,2024-01-01 00:00:00
1109,P1109,BOX-04,4,2024-01-01 00:00:00
1225,P1225,BOX-03,3,2024-01-01 00:00:00
1235,P1235,BOX-04,4,2024-01-01 00:00:00
1318,P1318,BOX-06,6,2024-01-01 00:00:00
1598,P1598,BOX-04,4,2024-01-01 00:00:00
1797,P1797,BOX-03,3,2024-01-01 00:00:00
1808,P1808,BOX-03,3,2024-01-01 00:00:00
1968,P1968,BOX-04,4,2024-01-01 00:00:00
2113,P2113,BOX-04,4,2024-01-01 00:00:00
2156,P2156,BOX-06,6,2024-01-01 00:00:00
2157,P2157,BOX-06,6,2024-01-01 00:00:00
2159,P2159,BOX-06,6,2024-01-01 00:00:00
2184,P2184,BOX-03,3,2024-01-01 00:00:00
118,P0118,BOX-06,6,2024-01-01 00:00:00
140,P0140,BOX-06,6,2024-01-01 00:00:00
155,P0155,BOX-03,3,2024-01-01 00:00:00
188,P0188,BOX-04,4,2024-01-01 00:00:00
231,P0231,BOX-03,3,2024-01-01 00:00:00
281,P0281,BOX-11,12,2024-01-01 00:00:00
404,P0404,BOX-04,4,2024-01-01 00:00:00
462,P0462,BOX-04,4,2024-01-01 00:00:00
601,P0601,BOX-04,4,2024-01-01 00:00:00
628,P0628,BOX-03,3,2024-01-01 00:00:00
830,P0830,BOX-11,12,2024-01-01 00:00:00
865,P0865,BOX-03,3,2024-01-01 00:00:00
1038,P1038,BOX-03,3,2024-01-01 00:00:00
1172,P1172,BOX-04,4,2024-01-01 00:00:00
1193,P1193,BOX-11,12,2024-01-01 00:00:00
1639,P1639,BOX-04,4,2024-01-01 00:00:00
1918,P1917,BOX-04,4,2024-01-01 00:00:00
1947,P1947,BOX-06,6,2024-01-01 00:00:00
1961,P1961,BOX-04,4,2024-01-01 00:00:00
1971,P1971,BOX-11,12,2024-01-01 00:00:00
2086,P2086,BOX-03,3,2024-01-01 00:00:00
2091,P2091,BOX-04,4,2024-01-01 00:00:00
2093,P2093,BOX-04,4,2024-01-01 00:00:00
2097,P2097,BOX-04,4,2024-01-01 00:00:00
2108,P2108,BOX-04,4,2024-01-01 00:00:00
179,P0179,BOX-06,6,2024-01-01 00:00:00
183,P0183,BOX-06,6,2024-01-01 00:00:00
264,P0264,BOX-04,4,2024-01-01 00:00:00
296,P0296,BOX-04,4,2024-01-01 00:00:00
341,P0341,BOX-02,2,2024-01-01 00:00:00
416,P0416,BOX-06,6,2024-01-01 00:00:00
519,P0519,BOX-04,4,2024-01-01 00:00:00
652,P0652,BOX-04,4,2024-01-01 00:00:00
818,P0817,BOX-04,4,2024-01-01 00:00:00
825,P0825,BOX-04,4,2024-01-01 00:00:00
900,P0900,BOX-06,6,2024-01-01 00:00:00
905,P0905,BOX-04,4,2024-01-01 00:00:00
968,P0968,BOX-06,6,2024-01-01 00:00:00
1168,P1168,BOX-06,6,2024-01-01 00:00:00
1192,P1192,BOX-06,6,2024-01-01 00:00:00
1254,P1254,BOX-11,12,2024-01-01 00:00:00
1640,P1640,BOX-03,3,2024-01-01 00:00:00
1866,P1866,BOX-04,4,2024-01-01 00:00:00
1869,P1869,BOX-04,4,2024-01-01 00:00:00
1924,P1924,BOX-11,12,2024-01-01 00:00:00
2028,P2028,BOX-04,4,2024-01-01 00:00:00
2044,P2044,BOX-06,6,2024-01-01 00:00:00
2088,P2088,BOX-04,4,2024-01-01 00:00:00
2094,P2094,BOX-04,4,2024-01-01 00:00:00
2096,P2096,BOX-04,4,2024-01-01 00:00:00
