product_id,pack_multiple,warehouse_count,total_beginning_inventory,total_capacity,early_donor_surplus_no_plt,early_receiver_shortage_no_plt,recommended_source_warehouse,recommended_receiver_warehouses,difficulty_group,difficulty_score
P0095,4,5,339,434,1143,1865,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.27134
P0115,4,5,340,440,1169,1938,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.342772
P0222,3,5,354,481,1295,2034,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.26819
P0254,12,5,426,544,1640,2246,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.343244
P0302,4,5,382,514,1386,2131,WH06,WH01;WH03;WH04;WH05,G1_low,0.235634
P0396,4,5,408,483,1750,2045,WH06,WH01;WH03;WH04;WH05,G1_low,0.228882
P0694,3,5,425,463,1707,2092,WH06,WH01;WH03;WH04;WH05,G1_low,0.199008
P0741,3,5,463,495,1659,2074,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.315358
P1055,4,5,317,472,1145,1942,WH06,WH01;WH03;WH04;WH05,G1_low,0.209889
P1087,4,5,316,517,1104,2071,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.28644
P1296,4,5,347,474,1262,2013,WH06,WH01;WH03;WH04;WH05,G1_low,0.215781
P1313,6,5,374,483,1407,1955,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.291942
P1390,4,5,385,475,1457,2089,WH06,WH01;WH03;WH04;WH05,G1_low,0.238203
P1511,4,5,398,486,1491,2082,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.311394
P1521,4,5,448,464,1595,1929,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.437104
P1599,4,5,428,445,1404,2101,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.402438
P1969,4,5,440,516,1636,2279,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.265458
P1998,6,5,327,479,1069,1892,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.295814
P2002,4,5,331,454,1151,1802,WH06,WH01;WH03;WH04;WH05,G1_low,0.228289
P2158,6,5,349,504,1368,2177,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.294458
P2189,4,5,377,460,1290,1895,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.37008
P2194,4,5,390,491,1392,1954,WH06,WH01;WH03;WH04;WH05,G1_low,0.225563
P2195,2,5,411,496,1601,2015,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.281503
P2232,4,5,422,472,1560,2025,WH06,WH01;WH03;WH04;WH05,G1_low,0.203428
P2237,2,5,422,516,1541,2162,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.255617
P0119,3,5,469,592,1884,2587,WH06,WH01;WH03;WH04;WH05,G1_low,0.237528
P0120,3,5,364,552,1462,2241,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.250232
P0165,3,5,368,587,1463,2320,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.299203
P0178,3,5,374,593,1384,2393,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.383386
P0235,3,5,402,615,1615,2563,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.365776
P0289,4,5,423,591,1673,2381,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.289431
P0477,4,5,429,624,1716,2632,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.433702
P0549,4,5,449,613,1782,2548,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.293795
P0839,4,5,445,667,1713,2713,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.351538
P0852,4,5,463,578,1625,2484,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.333651
P0927,2,5,335,581,1283,2351,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.36492
P1001,4,5,369,582,1382,2383,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.350273
P1109,4,5,379,569,1460,2404,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.26839
P1225,3,5,365,603,1326,2455,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.274037
P1235,4,5,409,625,1663,2661,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.389202
P1318,6,5,442,585,1723,2535,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.281314
P1598,4,5,452,596,1793,2529,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.284591
P1797,3,5,460,575,1775,2401,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.356971
P1808,3,5,483,540,1870,2378,WH06,WH01;WH03;WH04;WH05,G1_low,0.23431
P1968,4,5,331,593,1292,2382,WH06,WH01;WH03;WH04;WH05,G1_low,0.195088
P2113,4,5,396,548,1653,2251,WH06,WH01;WH03;WH04;WH05,G1_low,0.220785
P2156,6,5,367,639,1429,2585,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.339822
P2157,6,5,395,534,1540,2294,WH06,WH01;WH03;WH04;WH05,G1_low,0.160932
P2159,6,5,452,583,1591,2264,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.34275
P2184,3,5,446,624,1749,2576,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.361497
P0118,6,5,461,805,1892,3312,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.451875
P0140,6,5,504,736,2088,3250,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.397387
P0155,3,5,501,754,1868,3087,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.407307
P0188,4,5,387,689,1637,2776,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.330752
P0231,3,5,383,679,1465,2634,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.382076
P0281,12,5,435,753,1735,3021,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.534183
P0404,4,5,418,698,1578,2770,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.31323
