product_id,item_class,product_series,product_style,product_size,created_at,updated_at,product_name
P0095,CLS-A,SER-020,STY-016,SZ-051,2024-01-01 00:00:00,2024-01-01 00:00:00,Product-P0095
P0115,CLS-A,SER-023,STY-017,SZ-016,2024-01-01 00:00:00,2024-01-01 00:00:00,Product-P0115
P0222,CLS-A,SER-038,STY-029,SZ-078,2024-01-01 00:00:00,2024-01-01 00:00:00,Product-P0222
P0254,CLS-A,SER-045,STY-034,SZ-016,2024-01-01 00:00:00,2024-01-01 00:00:00,Product-P0254
P0302,CLS-A,SER-049,STY-035,SZ-016,2024-01-01 00:00:00,2024-01-01 00:00:00,Product-P0302
P0396,CLS-A,SER-070,STY-048,SZ-034,2024-01-01 00:00:00,2024-01-01 00:00:00,Product-P0396
P0694,CLS-A,SER-126,STY-087,SZ-071,2024-01-01 00:00:00,2024-01-01 00:00:00,Product-P0694
P0741,CLS-A,SER-135,STY-094,SZ-071,2024-01-01 00:00:00,2024-01-01 00:00:00,Product-P0741
P1055,CLS-A,SER-202,STY-147,SZ-016,2024-01-01 00:00:00,2024-01-01 00:00:00,Product-P1055
P1087,CLS-A,SER-208,STY-152,SZ-074,2024-01-01 00:00:00,2024-01-01 00:00:00,Product-P1087
P1296,CLS-A,SER-247,STY-180,SZ-019,2024-01-01 00:00:00,2024-01-01 00:00:00,Product-P1296
P1313,CLS-A,SER-248,STY-181,SZ-032,2024-01-01 00:00:00,2024-01-01 00:00:00,Product-P1313
P1390,CLS-A,SER-263,STY-193,SZ-019,2024-01-01 00:00:00,2024-01-01 00:00:00,Product-P1390
P1511,CLS-A,SER-289,STY-211,SZ-069,2024-01-01 00:00:00,2024-01-01 00:00:00,Product-P1511
P1521,CLS-A,SER-294,STY-215,SZ-024,2024-01-01 00:00:00,2024-01-01 00:00:00,Product-P1521
P1599,CLS-A,SER-309,STY-220,SZ-051,2024-01-01 00:00:00,2024-01-01 00:00:00,Product-P1599
P1969,CLS-A,SER-374,STY-257,SZ-023,2024-01-01 00:00:00,2024-01-01 00:00:00,Product-P1969
P1998,CLS-A,SER-378,STY-260,SZ-062,2024-01-01 00:00:00,2024-01-01 00:00:00,Product-P1998
P2002,CLS-A,SER-379,STY-260,SZ-016,2024-01-01 00:00:00,2024-01-01 00:00:00,Product-P2002
P2158,CLS-A,SER-413,STY-276,SZ-016,2024-01-01 00:00:00,2024-01-01 00:00:00,Product-P2158
P2189,CLS-A,SER-424,STY-279,SZ-048,2024-01-01 00:00:00,2024-01-01 00:00:00,Product-P2189
P2194,CLS-A,SER-426,STY-280,SZ-004,2024-01-01 00:00:00,2024-01-01 00:00:00,Product-P2194
P2195,CLS-A,SER-426,STY-280,SZ-006,2024-01-01 00:00:00,2024-01-01 00:00:00,Product-P2195
P2232,CLS-A,SER-438,STY-285,SZ-004,2024-01-01 00:00:00,2024-01-01 00:00:00,Product-P2232
P2237,CLS-A,SER-440,STY-286,SZ-009,2024-01-01 00:00:00,2024-01-01 00:00:00,Product-P2237
P0119,CLS-A,SER-025,STY-018,SZ-054,2024-01-01 00:00:00,2024-01-01 00:00:00,Product-P0119
