product_id,demand_pressure,flow_variability,warehouse_count,avg_inventory_floor,avg_inventory_ceiling,total_capacity,avg_capacity,pack_multiple,total_beginning_inventory,avg_overstock_cost,avg_shortage_cost,avg_backlog_cost,avg_penalty_cost,capacity_pressure,demand_pressure_norm,flow_variability_norm,capacity_pressure_norm,pack_multiple_norm,warehouse_count_norm,difficulty_score,difficulty_group
P0095,440,4.819679,5,46.58,143.56,434,43.4,4,339,0.1,0.5,1500.0,500.0,1.013825,0.060201,0.092315,0.840806,0.2,0.0,0.27134,G2_medium_low
P0115,455,5.44701,5,47.0,142.68,440,44.0,4,340,0.1,0.5,1500.0,500.0,1.034091,0.110368,0.264368,0.89428,0.2,0.0,0.342772,G2_medium_low
P0222,465,5.00678,5,49.3,147.12,481,48.1,3,354,0.1,0.5,1500.0,500.0,0.966736,0.143813,0.143629,0.716556,0.1,0.0,0.26819,G2_medium_low
P0254,469,5.736637,5,58.38,165.08,544,54.4,12,426,0.1,0.5,1500.0,750.0,0.862132,0.157191,0.343801,0.440547,1.0,0.0,0.343244,G2_medium_low
P0302,460,5.149996,5,53.74,156.42,514,51.4,4,382,0.1,0.5,1500.0,500.0,0.894942,0.12709,0.182908,0.527118,0.2,0.0,0.235634,G1_low
P0396,429,5.57003,5,55.62,165.94,483,48.3,4,408,0.1,0.5,1500.0,500.0,0.888199,0.023411,0.298108,0.509326,0.2,0.0,0.228882,G1_low
P0694,423,5.123527,5,57.84,166.26,463,46.3,3,425,0.1,0.5,1500.0,500.0,0.913607,0.003344,0.175649,0.576369,0.1,0.0,0.199008,G1_low
P0741,486,5.242295,5,61.02,172.82,495,49.5,3,463,0.1,0.5,1500.0,500.0,0.981818,0.214047,0.208222,0.756352,0.1,0.0,0.315358,G2_medium_low
P1055,434,4.918793,5,43.52,138.06,472,47.2,4,317,0.1,0.5,1500.0,500.0,0.919492,0.040134,0.119498,0.591896,0.2,0.0,0.209889,G1_low
P1087,481,5.242862,5,46.0,139.64,517,51.7,4,316,0.1,0.5,1500.0,500.0,0.930368,0.197324,0.208378,0.620594,0.2,0.0,0.28644,G2_medium_low
P1296,440,4.832481,5,49.46,148.0,474,47.4,4,347,0.1,0.5,1500.0,500.0,0.92827,0.060201,0.095826,0.615059,0.2,0.0,0.215781,G1_low
P1313,453,5.368786,5,51.4,151.92,483,48.3,6,374,0.1,0.5,1500.0,750.0,0.937888,0.103679,0.242914,0.640438,0.4,0.0,0.291942,G2_medium_low
P1390,449,4.864301,5,53.14,155.02,475,47.5,4,385,0.1,0.5,1500.0,500.0,0.945263,0.090301,0.104553,0.659898,0.2,0.0,0.238203,G1_low
P1511,476,5.208003,5,54.18,158.84,486,48.6,4,398,0.1,0.5,1500.0,500.0,0.979424,0.180602,0.198817,0.750035,0.2,0.0,0.311394,G2_medium_low
P1521,491,6.064155,5,57.0,166.68,464,46.4,4,448,0.1,0.5,1500.0,500.0,1.05819,0.230769,0.433627,0.957867,0.2,0.0,0.437104,G2_medium_low
P1599,478,5.595168,5,59.16,163.12,445,44.5,4,428,0.1,0.5,1500.0,500.0,1.074157,0.187291,0.305002,1.0,0.2,0.0,0.402438,G2_medium_low
P1969,473,5.185724,5,61.5,172.64,516,51.6,4,440,0.1,0.5,1500.0,500.0,0.916667,0.170569,0.192707,0.584442,0.2,0.0,0.265458,G2_medium_low
P1998,451,5.419357,5,46.2,139.38,479,47.9,6,327,0.1,0.5,1500.0,750.0,0.941545,0.09699,0.256783,0.650086,0.4,0.0,0.295814,G2_medium_low
P2002,434,4.836419,5,46.04,140.08,454,45.4,4,331,0.1,0.5,1500.0,500.0,0.955947,0.040134,0.096906,0.688089,0.2,0.0,0.228289,G1_low
P2158,466,5.343062,5,49.08,149.0,504,50.4,6,349,0.1,0.5,1500.0,750.0,0.924603,0.147157,0.235859,0.605384,0.4,0.0,0.294458,G2_medium_low
P2189,469,5.780162,5,49.04,151.2,460,46.0,4,377,0.1,0.5,1500.0,500.0,1.019565,0.157191,0.355739,0.855952,0.2,0.0,0.37008,G2_medium_low
P2194,459,4.634021,5,53.24,155.32,491,49.1,4,390,0.1,0.5,1500.0,500.0,0.934827,0.123746,0.041396,0.63236,0.2,0.0,0.225563,G1_low
P2195,458,5.866267,5,52.64,158.22,496,49.6,2,411,0.1,0.5,1500.0,500.0,0.923387,0.120401,0.379354,0.602175,0.0,0.0,0.281503,G2_medium_low
P2232,422,5.244759,5,56.74,163.84,472,47.2,4,422,0.1,0.5,1500.0,500.0,0.894068,0.0,0.208898,0.524813,0.2,0.0,0.203428,G1_low
P2237,483,5.001109,5,56.66,163.46,516,51.6,2,422,0.1,0.5,1500.0,500.0,0.936047,0.204013,0.142074,0.635578,0.0,0.0,0.255617,G2_medium_low
P0119,486,5.654904,5,69.04,183.78,592,59.2,3,469,0.1,0.5,1500.0,500.0,0.820946,0.214047,0.321385,0.331872,0.1,0.0,0.237528,G1_low
P0120,477,5.556418,5,49.56,155.84,552,55.2,3,364,0.1,0.5,1500.0,500.0,0.86413,0.183946,0.294374,0.445819,0.1,0.0,0.250232,G2_medium_low
P0165,494,6.238948,5,52.5,157.02,587,58.7,3,368,0.1,0.5,1500.0,500.0,0.841567,0.240803,0.481566,0.386284,0.1,0.0,0.299203,G2_medium_low
P0178,534,6.314352,5,55.3,155.8,593,59.3,3,374,0.1,0.5,1500.0,500.0,0.900506,0.374582,0.502247,0.5418,0.1,0.0,0.383386,G2_medium_low
P0235,530,6.488543,5,55.84,164.8,615,61.5,3,402,0.1,0.5,1500.0,500.0,0.861789,0.361204,0.550021,0.43964,0.1,0.0,0.365776,G2_medium_low
P0289,504,5.69625,5,60.3,171.4,591,59.1,4,423,0.1,0.5,1500.0,500.0,0.852792,0.274247,0.332725,0.415901,0.2,0.0,0.289431,G2_medium_low
P0477,550,6.851917,5,61.64,173.34,624,62.4,4,429,0.1,0.5,1500.0,500.0,0.88141,0.428094,0.649681,0.491414,0.2,0.0,0.433702,G2_medium_low
P0549,504,6.054353,5,64.92,179.24,613,61.3,4,449,0.1,0.5,1500.0,500.0,0.822186,0.274247,0.430939,0.335144,0.2,0.0,0.293795,G2_medium_low
P0839,557,5.996865,5,66.54,178.98,667,66.7,4,445,0.1,0.5,1500.0,500.0,0.835082,0.451505,0.415172,0.369173,0.2,0.0,0.351538,G2_medium_low
P0852,524,5.531088,5,68.32,183.56,578,57.8,4,463,0.1,0.5,1500.0,500.0,0.906574,0.341137,0.287427,0.557813,0.2,0.0,0.333651,G2_medium_low
P0927,533,6.043129,5,48.44,148.54,581,58.1,2,335,0.1,0.5,1500.0,500.0,0.917384,0.371237,0.427861,0.586335,0.0,0.0,0.36492,G2_medium_low
