new_product_id,source_dataset,source_product_id,selection_order
OLD_P0095,sample_100_fixed_old,P0095,1
OLD_P0115,sample_100_fixed_old,P0115,2
OLD_P0222,sample_100_fixed_old,P0222,3
OLD_P0254,sample_100_fixed_old,P0254,4
OLD_P0302,sample_100_fixed_old,P0302,5
OLD_P0396,sample_100_fixed_old,P0396,6
OLD_P0694,sample_100_fixed_old,P0694,7
OLD_P0741,sample_100_fixed_old,P0741,8
OLD_P1055,sample_100_fixed_old,P1055,9
OLD_P1087,sample_100_fixed_old,P1087,10
OLD_P1296,sample_100_fixed_old,P1296,11
OLD_P1313,sample_100_fixed_old,P1313,12
OLD_P1390,sample_100_fixed_old,P1390,13
OLD_P1511,sample_100_fixed_old,P1511,14
OLD_P1521,sample_100_fixed_old,P1521,15
OLD_P1599,sample_100_fixed_old,P1599,16
OLD_P1969,sample_100_fixed_old,P1969,17
OLD_P1998,sample_100_fixed_old,P1998,18
OLD_P2002,sample_100_fixed_old,P2002,19
OLD_P2158,sample_100_fixed_old,P2158,20
OLD_P2189,sample_100_fixed_old,P2189,21
OLD_P2194,sample_100_fixed_old,P2194,22
OLD_P2195,sample_100_fixed_old,P2195,23
OLD_P2232,sample_100_fixed_old,P2232,24
OLD_P2237,sample_100_fixed_old,P2237,25
OLD_P0119,sample_100_fixed_old,P0119,26
OLD_P0120,sample_100_fixed_old,P0120,27
OLD_P0165,sample_100_fixed_old,P0165,28
OLD_P0178,sample_100_fixed_old,P0178,29
OLD_P0235,sample_100_fixed_old,P0235,30
OLD_P0289,sample_100_fixed_old,P0289,31
OLD_P0477,sample_100_fixed_old,P0477,32
OLD_P0549,sample_100_fixed_old,P0549,33
OLD_P0839,sample_100_fixed_old,P0839,34
OLD_P0852,sample_100_fixed_old,P0852,35
OLD_P0927,sample_100_fixed_old,P0927,36
OLD_P1001,sample_100_fixed_old,P1001,37
OLD_P1109,sample_100_fixed_old,P1109,38
OLD_P1225,sample_100_fixed_old,P1225,39
OLD_P1235,sample_100_fixed_old,P1235,40
OLD_P1318,sample_100_fixed_old,P1318,41
OLD_P1598,sample_100_fixed_old,P1598,42
OLD_P1797,sample_100_fixed_old,P1797,43
OLD_P1808,sample_100_fixed_old,P1808,44
OLD_P1968,sample_100_fixed_old,P1968,45
OLD_P2113,sample_100_fixed_old,P2113,46
OLD_P2156,sample_100_fixed_old,P2156,47
OLD_P2157,sample_100_fixed_old,P2157,48
OLD_P2159,sample_100_fixed_old,P2159,49
OLD_P2184,sample_100_fixed_old,P2184,50
OLD_P0118,sample_100_fixed_old,P0118,51
OLD_P0140,sample_100_fixed_old,P0140,52
OLD_P0155,sample_100_fixed_old,P0155,53
OLD_P0188,sample_100_fixed_old,P0188,54
OLD_P0231,sample_100_fixed_old,P0231,55
OLD_P0281,sample_100_fixed_old,P0281,56
OLD_P0404,sample_100_fixed_old,P0404,57
OLD_P0462,sample_100_fixed_old,P0462,58
OLD_P0601,sample_100_fixed_old,P0601,59
OLD_P0628,sample_100_fixed_old,P0628,60
OLD_P0830,sample_100_fixed_old,P0830,61
OLD_P0865,sample_100_fixed_old,P0865,62
OLD_P1038,sample_100_fixed_old,P1038,63
OLD_P1172,sample_100_fixed_old,P1172,64
OLD_P1193,sample_100_fixed_old,P1193,65
OLD_P1639,sample_100_fixed_old,P1639,66
OLD_P1917,sample_100_fixed_old,P1917,67
OLD_P1947,sample_100_fixed_old,P1947,68
OLD_P1961,sample_100_fixed_old,P1961,69
OLD_P1971,sample_100_fixed_old,P1971,70
FIX_P0095,sample_100_fixed,P0095,71
FIX_P0115,sample_100_fixed,P0115,72
FIX_P0222,sample_100_fixed,P0222,73
FIX_P0254,sample_100_fixed,P0254,74
FIX_P0302,sample_100_fixed,P0302,75
FIX_P0396,sample_100_fixed,P0396,76
FIX_P0694,sample_100_fixed,P0694,77
FIX_P0741,sample_100_fixed,P0741,78
FIX_P1055,sample_100_fixed,P1055,79
FIX_P1087,sample_100_fixed,P1087,80
FIX_P1296,sample_100_fixed,P1296,81
FIX_P1313,sample_100_fixed,P1313,82
FIX_P1390,sample_100_fixed,P1390,83
FIX_P1511,sample_100_fixed,P1511,84
FIX_P1521,sample_100_fixed,P1521,85
FIX_P1599,sample_100_fixed,P1599,86
FIX_P1969,sample_100_fixed,P1969,87
FIX_P1998,sample_100_fixed,P1998,88
FIX_P2002,sample_100_fixed,P2002,89
FIX_P2158,sample_100_fixed,P2158,90
FIX_P2189,sample_100_fixed,P2189,91
FIX_P2194,sample_100_fixed,P2194,92
FIX_P2195,sample_100_fixed,P2195,93
FIX_P2232,sample_100_fixed,P2232,94
FIX_P2237,sample_100_fixed,P2237,95
FIX_P0119,sample_100_fixed,P0119,96
FIX_P0120,sample_100_fixed,P0120,97
FIX_P0165,sample_100_fixed,P0165,98
FIX_P0178,sample_100_fixed,P0178,99
FIX_P0235,sample_100_fixed,P0235,100
