time_period,start_date,end_date,week,month,year,created_at
1,2024-01-01,2024-01-07,1,1,2024,2024-01-01 00:00:00
2,2024-01-08,2024-01-14,2,1,2024,2024-01-01 00:00:00
3,2024-01-15,2024-01-21,3,1,2024,2024-01-01 00:00:00
4,2024-01-22,2024-01-28,4,1,2024,2024-01-01 00:00:00
5,2024-01-29,2024-02-04,5,1,2024,2024-01-01 00:00:00
6,2024-02-05,2024-02-11,6,2,2024,2024-01-01 00:00:00
7,2024-02-12,2024-02-18,7,2,2024,2024-01-01 00:00:00
8,2024-02-19,2024-02-25,8,2,2024,2024-01-01 00:00:00
9,2024-02-26,2024-03-03,9,2,2024,2024-01-01 00:00:00
10,2024-03-04,2024-03-10,10,3,2024,2024-01-01 00:00:00
