product_id,time_period,capacity,created_at
P0095,1,47,2024-01-01 00:00:00
P0095,2,51,2024-01-01 00:00:00
P0095,3,48,2024-01-01 00:00:00
P0095,4,48,2024-01-01 00:00:00
P0095,5,45,2024-01-01 00:00:00
P0095,6,43,2024-01-01 00:00:00
P0095,7,51,2024-01-01 00:00:00
P0095,8,34,2024-01-01 00:00:00
P0095,9,31,2024-01-01 00:00:00
P0095,10,36,2024-01-01 00:00:00
P0115,1,50,2024-01-01 00:00:00
P0115,2,54,2024-01-01 00:00:00
P0115,3,51,2024-01-01 00:00:00
P0115,4,47,2024-01-01 00:00:00
P0115,5,40,2024-01-01 00:00:00
P0115,6,43,2024-01-01 00:00:00
P0115,7,47,2024-01-01 00:00:00
P0115,8,32,2024-01-01 00:00:00
P0115,9,39,2024-01-01 00:00:00
P0115,10,37,2024-01-01 00:00:00
P0222,1,57,2024-01-01 00:00:00
P0222,2,60,2024-01-01 00:00:00
P0222,3,55,2024-01-01 00:00:00
P0222,4,54,2024-01-01 00:00:00
P0222,5,46,2024-01-01 00:00:00
P0222,6,47,2024-01-01 00:00:00
P0222,7,53,2024-01-01 00:00:00
P0222,8,36,2024-01-01 00:00:00
P0222,9,38,2024-01-01 00:00:00
P0222,10,35,2024-01-01 00:00:00
P0254,1,62,2024-01-01 00:00:00
P0254,2,64,2024-01-01 00:00:00
P0254,3,64,2024-01-01 00:00:00
P0254,4,60,2024-01-01 00:00:00
P0254,5,53,2024-01-01 00:00:00
P0254,6,56,2024-01-01 00:00:00
P0254,7,50,2024-01-01 00:00:00
P0254,8,49,2024-01-01 00:00:00
P0254,9,49,2024-01-01 00:00:00
P0254,10,37,2024-01-01 00:00:00
P0302,1,57,2024-01-01 00:00:00
P0302,2,57,2024-01-01 00:00:00
P0302,3,54,2024-01-01 00:00:00
P0302,4,58,2024-01-01 00:00:00
P0302,5,54,2024-01-01 00:00:00
P0302,6,58,2024-01-01 00:00:00
P0302,7,49,2024-01-01 00:00:00
P0302,8,43,2024-01-01 00:00:00
P0302,9,44,2024-01-01 00:00:00
P0302,10,40,2024-01-01 00:00:00
P0396,1,49,2024-01-01 00:00:00
P0396,2,51,2024-01-01 00:00:00
P0396,3,50,2024-01-01 00:00:00
P0396,4,53,2024-01-01 00:00:00
P0396,5,53,2024-01-01 00:00:00
P0396,6,55,2024-01-01 00:00:00
P0396,7,50,2024-01-01 00:00:00
P0396,8,42,2024-01-01 00:00:00
P0396,9,46,2024-01-01 00:00:00
P0396,10,34,2024-01-01 00:00:00
