week,warehouse,overstock_cost,shortage_cost,backorder_cost,penalty_OA_cost,PLT_penalty_cost,transport_cost,total_cost
1,WH01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,WH02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,WH03,0.0,8.0,15000.0,0.0,0.0,0.0,15008.0
1,WH04,0.0,2.5,0.0,2000.0,0.0,360.0,2362.5
1,WH05,0.0,26.0,0.0,0.0,2000.0,1020.0,3046.0
1,WH06,0.0,3.0,0.0,0.0,0.0,600.0,603.0
2,WH01,0.0,0.0,0.0,2000.0,0.0,0.0,2000.0
2,WH02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,WH03,0.0,9.5,19500.0,0.0,0.0,0.0,19509.5
2,WH04,0.0,6.0,0.0,0.0,0.0,0.0,6.0
2,WH05,0.0,27.5,0.0,0.0,0.0,0.0,27.5
2,WH06,0.0,6.5,0.0,0.0,0.0,0.0,6.5
3,WH01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,WH02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,WH03,0.0,8.0,15000.0,0.0,0.0,0.0,15008.0
3,WH04,0.0,2.5,0.0,2000.0,0.0,0.0,2002.5
3,WH05,0.0,23.0,0.0,0.0,0.0,0.0,23.0
3,WH06,0.0,8.0,3000.0,0.0,0.0,0.0,3008.0
4,WH01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,WH02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,WH03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,WH04,0.0,18.0,0.0,0.0,0.0,720.0,738.0
4,WH05,0.0,24.5,0.0,2000.0,0.0,0.0,2024.5
4,WH06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,WH01,0.0,0.5,0.0,0.0,0.0,0.0,0.5
5,WH02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,WH03,0.0,1.5,0.0,2000.0,0.0,0.0,2001.5
5,WH04,0.0,19.5,0.0,0.0,0.0,300.0,319.5
5,WH05,0.0,26.0,0.0,0.0,0.0,0.0,26.0
5,WH06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,WH01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,WH02,0.0,1.5,0.0,2000.0,0.0,0.0,2001.5
6,WH03,0.0,3.0,0.0,0.0,0.0,0.0,3.0
6,WH04,0.0,18.0,0.0,0.0,0.0,0.0,18.0
6,WH05,0.0,27.5,0.0,0.0,0.0,0.0,27.5
6,WH06,0.0,3.5,0.0,0.0,0.0,0.0,3.5
7,WH01,0.0,0.0,0.0,2000.0,0.0,0.0,2000.0
7,WH02,0.0,2.0,0.0,0.0,0.0,0.0,2.0
7,WH03,0.0,1.5,0.0,0.0,0.0,0.0,1.5
7,WH04,0.0,21.5,0.0,0.0,0.0,0.0,21.5
7,WH05,0.0,29.0,0.0,0.0,0.0,0.0,29.0
7,WH06,0.0,7.0,0.0,0.0,0.0,0.0,7.0
8,WH01,0.0,2.0,0.0,0.0,0.0,0.0,2.0
8,WH02,0.0,3.5,4500.0,0.0,0.0,0.0,4503.5
8,WH03,0.0,4.0,3000.0,0.0,0.0,0.0,3004.0
8,WH04,0.0,24.0,4500.0,0.0,0.0,0.0,4524.0
8,WH05,0.0,38.5,0.0,0.0,0.0,0.0,38.5
8,WH06,0.0,10.5,10500.0,2000.0,0.0,0.0,12510.5
9,WH01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,WH02,0.0,2.0,0.0,0.0,0.0,0.0,2.0
9,WH03,0.0,0.5,0.0,0.0,0.0,0.0,0.5
9,WH04,0.0,22.5,0.0,0.0,0.0,0.0,22.5
9,WH05,0.0,30.0,0.0,0.0,0.0,0.0,30.0
9,WH06,0.0,3.0,0.0,0.0,0.0,0.0,3.0
10,WH01,0.0,0.0,0.0,2000.0,0.0,0.0,2000.0
10,WH02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,WH03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,WH04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,WH05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,WH06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
