week,warehouse,inv_begin,L,U,Q_OA_allocated,Q_OA_received,PLT_in,PLT_out,delta_I,inventory_end,surplus_E,backorder,shortage,overstock,PLT_detail
1,WH01,23,5,73,10.0,0,0,0.0,-5,18.0,13.0,0.0,0.0,0.0,
1,WH02,13,4,49,10.0,0,0,0.0,5,18.0,14.0,0.0,0.0,0.0,
1,WH03,11,6,48,30.0,0,0,0.0,-21,-10.0,0.0,10.0,16.0,0.0,
1,WH04,57,45,90,4.0,0,0,10.0,-7,40.0,10.0,0.0,5.0,0.0,WH03: 10.0
1,WH05,83,77,112,20.0,0,0,63.0,5,25.0,63.0,0.0,52.0,0.0,WH03: 33.0 | WH04: 10.0 | WH06: 20.0
1,WH06,21,14,53,40.0,0,0,10.0,-3,8.0,10.0,0.0,6.0,0.0,WH03: 10.0
2,WH01,18.0,5,73,1.0,0,0,0.0,-5,13.0,8.0,0.0,0.0,0.0,
2,WH02,18.0,4,49,0.0,0,0,0.0,-5,13.0,9.0,0.0,0.0,0.0,
2,WH03,-10.0,6,48,10.0,0,0,0.0,-3,-13.0,0.0,13.0,19.0,0.0,
2,WH04,40.0,45,90,50.0,0,0,0.0,-7,33.0,0.0,0.0,12.0,0.0,
2,WH05,25.0,77,112,70.0,0,0,0.0,-3,22.0,0.0,0.0,55.0,0.0,
2,WH06,8.0,14,53,0.0,0,0,0.0,-7,1.0,0.0,0.0,13.0,0.0,
3,WH01,13.0,5,73,120.0,0,0,0.0,-3,10.0,5.0,0.0,0.0,0.0,
3,WH02,13.0,4,49,0.0,0,0,0.0,9,22.0,18.0,0.0,0.0,0.0,
3,WH03,-13.0,6,48,0.0,0,10.0,0.0,-7,-10.0,0.0,10.0,16.0,0.0,from WH06: 10.0
3,WH04,33.0,45,90,7.0,0,10.0,0.0,-3,40.0,0.0,0.0,5.0,0.0,from WH05: 10.0
3,WH05,22.0,77,112,0.0,0,0,0.0,9,31.0,0.0,0.0,46.0,0.0,
3,WH06,1.0,14,53,0.0,0,0,0.0,-3,-2.0,0.0,2.0,16.0,0.0,
4,WH01,10.0,5,73,110.0,0,0,0.0,-3,7.0,2.0,0.0,0.0,0.0,
4,WH02,22.0,4,49,0.0,0,0,0.0,-1,21.0,17.0,0.0,0.0,0.0,
4,WH03,-10.0,6,48,0.0,0,43.0,0.0,-7,26.0,20.0,0.0,0.0,0.0,from WH04: 10.0 | from WH05: 33.0
4,WH04,40.0,45,90,0.0,0,0,30.0,-1,9.0,30.0,0.0,36.0,0.0,WH01: 30.0
4,WH05,31.0,77,112,2.0,0,0,0.0,-3,28.0,0.0,0.0,49.0,0.0,
4,WH06,-2.0,14,53,0.0,0,20.0,0.0,-1,17.0,3.0,0.0,0.0,0.0,from WH05: 20.0
5,WH01,7.0,5,73,0.0,0,0,0.0,-3,4.0,0.0,0.0,1.0,0.0,
5,WH02,21.0,4,49,0.0,0,0,0.0,-15,6.0,2.0,0.0,0.0,0.0,
5,WH03,26.0,6,48,2.0,0,0,0.0,-23,3.0,0.0,0.0,3.0,0.0,
5,WH04,9.0,45,90,0.0,0,0,10.0,7,6.0,10.0,0.0,39.0,0.0,WH05: 10.0
5,WH05,28.0,77,112,0.0,0,0,0.0,-3,25.0,0.0,0.0,52.0,0.0,
5,WH06,17.0,14,53,70.0,0,0,0.0,-3,14.0,0.0,0.0,0.0,0.0,
6,WH01,4.0,5,73,80.0,0,30.0,0.0,-23,11.0,6.0,0.0,0.0,0.0,from WH04: 30.0
6,WH02,6.0,4,49,1.0,0,0,0.0,-5,1.0,0.0,0.0,3.0,0.0,
6,WH03,3.0,6,48,0.0,0,0,0.0,-3,0.0,0.0,0.0,6.0,0.0,
6,WH04,6.0,45,90,0.0,0,0,0.0,3,9.0,0.0,0.0,36.0,0.0,
6,WH05,25.0,77,112,0.0,0,0,0.0,-3,22.0,0.0,0.0,55.0,0.0,
6,WH06,14.0,14,53,0.0,0,0,0.0,-7,7.0,0.0,0.0,7.0,0.0,
7,WH01,11.0,5,73,9.0,0,0,0.0,-5,6.0,1.0,0.0,0.0,0.0,
7,WH02,1.0,4,49,110.0,0,0,0.0,-1,0.0,0.0,0.0,4.0,0.0,
7,WH03,0.0,6,48,0.0,0,0,0.0,3,3.0,0.0,0.0,3.0,0.0,
7,WH04,9.0,45,90,0.0,0,0,0.0,-7,2.0,0.0,0.0,43.0,0.0,
7,WH05,22.0,77,112,0.0,0,0,0.0,-3,19.0,0.0,0.0,58.0,0.0,
7,WH06,7.0,14,53,0.0,0,0,0.0,-7,0.0,0.0,0.0,14.0,0.0,
8,WH01,6.0,5,73,0.0,0,0,0.0,-5,1.0,0.0,0.0,4.0,0.0,
8,WH02,0.0,4,49,0.0,0,0,0.0,-3,-3.0,0.0,3.0,7.0,0.0,
8,WH03,3.0,6,48,0.0,0,0,0.0,-5,-2.0,0.0,2.0,8.0,0.0,
8,WH04,2.0,45,90,0.0,0,0,0.0,-5,-3.0,0.0,3.0,48.0,0.0,
8,WH05,19.0,77,112,110.0,0,10.0,0.0,-29,0.0,0.0,0.0,77.0,0.0,from WH04: 10.0
8,WH06,0.0,14,53,5.0,0,0,0.0,-7,-7.0,0.0,7.0,21.0,0.0,
9,WH01,1.0,5,73,0.0,10.0,0,0.0,-3,8.0,3.0,0.0,0.0,0.0,
9,WH02,-3.0,4,49,0.0,10.0,0,0.0,-7,0.0,0.0,0.0,4.0,0.0,
9,WH03,-2.0,6,48,0.0,30.0,0,0.0,-23,5.0,0.0,0.0,1.0,0.0,
9,WH04,-3.0,45,90,0.0,4.0,0,0.0,-1,0.0,0.0,0.0,45.0,0.0,
9,WH05,0.0,77,112,0.0,20.0,0,0.0,-3,17.0,0.0,0.0,60.0,0.0,
9,WH06,-7.0,14,53,90.0,40.0,0,0.0,-25,8.0,0.0,0.0,6.0,0.0,
10,WH01,8.0,5,73,3.0,1.0,0,0.0,-3,6.0,1.0,0.0,0.0,0.0,
10,WH02,0.0,4,49,0.0,0.0,0,0.0,7,7.0,3.0,0.0,0.0,0.0,
10,WH03,5.0,6,48,0.0,10.0,0,0.0,-7,8.0,2.0,0.0,0.0,0.0,
10,WH04,0.0,45,90,0.0,50.0,0,0.0,-5,45.0,0.0,0.0,0.0,0.0,
